Country Name,Country Code,Time,Time Code,"Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, % of GDP [DP.DOD.DECD.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, % of GDP [DP.DOD.DECN.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., All maturities, All instruments, External creditors, Nominal Value, % of GDP [DP.DOD.DECX.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, % of GDP [DP.DOD.DECF.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., All maturities, All instruments, Nominal Value, % of GDP [DP.DOD.DECT.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., All maturities, Currency and deposits, Nominal Value, % of GDP [DP.DOD.DLCD.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., All maturities, Debt Securities, Market value, % of GDP [DP.DOD.DLDS.CR.MV.BC.Z1]","Gross PSD, Budgetary Central Gov., All maturities, Debt securities, Nominal Value, % of GDP [DP.DOD.DLDS.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP [DP.DOD.DLIN.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., All maturities, Loans, Nominal Value, % of GDP [DP.DOD.DLLO.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., All maturities, Other accounts payable, Nominal Value, % of GDP [DP.DOD.DLOA.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., All maturities, Special Drawing Rights, Nominal Value, % of GDP [DP.DOD.DLSD.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., Long-term, All instruments, Nominal Value, % of GDP [DP.DOD.DLTC.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, % of GDP [DP.DOD.DLTC.CR.M1.BC.Z1]","Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP [DP.DOD.DLCD.CR.M1.BC.Z1]","Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP [DP.DOD.DLDS.CR.M1.BC.Z1]","Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP [DP.DOD.DLIN.CR.M1.BC.Z1]","Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Loans, Nominal Value, % of GDP [DP.DOD.DLLO.CR.M1.BC.Z1]","Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, % of GDP [DP.DOD.DLOA.CR.M1.BC.Z1]","Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, % of GDP [DP.DOD.DLSD.CR.M1.BC.Z1]","Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, % of GDP [DP.DOD.DLTC.CR.L1.BC.Z1]","Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP [DP.DOD.DLCD.CR.L1.BC.Z1]","Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP [DP.DOD.DLDS.CR.L1.BC.Z1]","Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP [DP.DOD.DLIN.CR.L1.BC.Z1]","Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Loans, Nominal Value, % of GDP [DP.DOD.DLLO.CR.L1.BC.Z1]","Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, % of GDP [DP.DOD.DLOA.CR.L1.BC.Z1]","Gross PSD, Budgetary Central Gov., Short-term, All instruments, Nominal Value, % of GDP [DP.DOD.DSTC.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., Short-term, Currency and deposits, Nominal Value, % of GDP [DP.DOD.DSCD.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., Short-term, Debt securities, Nominal Value, % of GDP [DP.DOD.DSDS.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP [DP.DOD.DSIN.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., Short-term, Loans, Nominal Value, % of GDP [DP.DOD.DSLO.CR.BC.Z1]","Gross PSD, Budgetary Central Gov., Short-term, Other accounts payable, Nominal Value, % of GDP [DP.DOD.DSOA.CR.BC.Z1]"
Albania,ALB,2021Q1,YR2021Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,2021Q2,YR2021Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,2021Q3,YR2021Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,2021Q4,YR2021Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,2022Q1,YR2022Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,2022Q2,YR2022Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,2022Q3,YR2022Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,2022Q4,YR2022Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,2023Q1,YR2023Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,2023Q2,YR2023Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,2023Q3,YR2023Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,2023Q4,YR2023Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,2021Q1,YR2021Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,2021Q2,YR2021Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,2021Q3,YR2021Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,2021Q4,YR2021Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,2022Q1,YR2022Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,2022Q2,YR2022Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,2022Q3,YR2022Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,2022Q4,YR2022Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,2023Q1,YR2023Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,2023Q2,YR2023Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,2023Q3,YR2023Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,2023Q4,YR2023Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,2021Q1,YR2021Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,2021Q2,YR2021Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,2021Q3,YR2021Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,2021Q4,YR2021Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,2022Q1,YR2022Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,2022Q2,YR2022Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,2022Q3,YR2022Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,2022Q4,YR2022Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,2023Q1,YR2023Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,2023Q2,YR2023Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,2023Q3,YR2023Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,2023Q4,YR2023Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,2021Q1,YR2021Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,2021Q2,YR2021Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,2021Q3,YR2021Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,2021Q4,YR2021Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,2022Q1,YR2022Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,2022Q2,YR2022Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,2022Q3,YR2022Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,2022Q4,YR2022Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,2023Q1,YR2023Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,2023Q2,YR2023Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,2023Q3,YR2023Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,2023Q4,YR2023Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,2021Q1,YR2021Q1,22.7534068966358,68.861247611478,46.1078407148422,0,68.861247611478,0.460659983196017,..,63.3624389472616,..,5.03814868102036,..,0,61.7115760074663,57.3914493951231,0,52.8009332290616,..,4.59051616606154,..,0,4.32012661234319,0,4.20948310598664,..,0.110643506356549,..,7.14967160401168,0.460659983196017,6.35202261221339,..,0.336989008602267,..
Austria,AUT,2021Q2,YR2021Q2,21.8594683527312,67.9105080425679,46.0510396898367,0,67.9105080425679,0.451886439420341,..,63.0535797996577,..,4.40504180348984,..,0,62.9535061992981,56.9733798569575,0,52.7847238900916,..,4.18865596686595,..,0,5.98012634234063,0,5.84234868519564,..,0.137777657144988,..,4.95700184326973,0.451886439420341,4.42650722437049,..,0.0786081794789032,..
Austria,AUT,2021Q3,YR2021Q3,21.7174959241291,66.4765448412838,44.7590489171548,0,66.4765448412838,0.451221331014452,..,61.5066267024315,..,4.51869680783783,..,0,60.300063463034,56.4606044966873,0,52.3419601439586,..,4.11864435272866,..,0,3.83945896634673,0,3.71213125611424,..,0.127327710232486,..,6.17648137824987,0.451221331014452,5.45253530235874,..,0.272724744876679,..
Austria,AUT,2021Q4,YR2021Q4,23.0387973905927,64.344411689128,41.3056142985353,0,64.344411689128,0.437926988044519,..,59.4459338185289,..,4.46055088255458,..,0,59.2866306816694,53.2082930739964,0,49.0528213589276,..,4.1554717150688,..,0,6.07833760767305,0,5.87254404563303,..,0.205793562040026,..,5.05778100745854,0.437926988044519,4.52056841396827,..,0.0992856054457538,..
Austria,AUT,2022Q1,YR2022Q1,23.4242411324953,66.0865499744754,42.6623088419801,0,66.0865499744754,0.42823637310303,..,61.6387516993914,..,4.01956190198092,..,0,60.9689829214749,54.9219482114623,0,51.1511000500031,..,3.7708481614592,..,0,6.04703471001256,0,5.83728737455039,..,0.209747335462175,..,5.11756705300052,0.42823637310303,4.65036427483795,..,0.0389664050595423,..
Austria,AUT,2022Q2,YR2022Q2,23.7956040004529,65.8748068257789,42.0792028253261,0,65.8748068257789,0.424988881779937,..,61.5712956955013,..,3.87852224849773,..,0,60.1459805472022,54.6830013751409,0,51.0708124595895,..,3.61218891555146,..,0,5.46297917206128,0,5.33803708550521,..,0.124942086556069,..,5.72882627857673,0.424988881779937,5.16244615040659,..,0.141391246390207,..
Austria,AUT,2022Q3,YR2022Q3,23.1448687673736,63.8905946924905,40.7457259251169,0,63.8905946924905,0.419958672248845,..,59.7500405338429,..,3.72059548639872,..,0,59.1678103182823,53.4885567084671,0,49.995659269056,..,3.49289743941108,..,0,5.67925360981522,0,5.55017540319328,..,0.129078206621939,..,4.72278437420817,0.419958672248845,4.20420586159362,..,0.0986198403657095,..
Austria,AUT,2022Q4,YR2022Q4,21.83380122529,61.8045572886943,39.9707560634043,0,61.8045572886943,0.413609239490241,..,57.93944519999,..,3.4515028492141,..,0,56.7211593314128,50.8516254742689,0,47.4576752458375,..,3.39395022843149,..,0,5.86953385714388,0,5.82637831998088,..,0.0431555371630022,..,5.08339795728151,0.413609239490241,4.65539163417167,..,0.0143970836196009,..
Austria,AUT,2023Q1,YR2023Q1,22.2522076500557,63.8299834119666,41.5777757619109,0,63.8299834119666,0.404306701899004,..,59.7556178437497,..,3.67005886631793,..,0,58.5721974480196,52.5949483235139,0,49.278781597413,..,3.31616672610098,..,0,5.97724912450563,0,5.84008100188633,..,0.1371681226193,..,5.25778596394704,0.404306701899004,4.63675524445039,..,0.21672401759765,..
Austria,AUT,2023Q2,YR2023Q2,21.3307512237825,61.6156059407988,40.2848547170163,0,61.6156059407988,0.398862631324397,..,57.9029306779894,..,3.31381263148497,..,0,58.4866665008422,53.8973524015577,0,50.7879067827201,..,3.10944561883762,..,0,4.58931409928447,0,4.46191027833889,..,0.127403820945576,..,3.12893943995662,0.398862631324397,2.65311361693044,..,0.0769631917017732,..
Austria,AUT,2023Q3,YR2023Q3,20.6512382550737,61.8328265870012,41.1815883319275,0,61.8328265870012,0.408778773944275,..,58.2090234046914,..,3.21502440836553,..,0,57.2229432478675,52.2102112379131,0,49.148181340518,..,3.06202989739504,..,0,5.01273200995439,0,4.88748896489052,..,0.125243045063874,..,4.60988333913375,0.408778773944275,4.17335309928286,..,0.0277514659066173,..
Austria,AUT,2023Q4,YR2023Q4,17.1335856534532,60.8284683148077,43.6948826613545,0,60.8284683148077,0.408683618232023,..,57.2290518589737,..,3.19073283760194,..,0,55.9101316660831,51.140325922804,0,48.1049911948607,..,3.03533472794329,..,0,4.76980574327907,0,4.6530445068146,..,0.116761236464468,..,4.9183366487246,0.408683618232023,4.47101615729839,..,0.0386368731941795,..
Bangladesh,BGD,2021Q1,YR2021Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,2021Q2,YR2021Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,2021Q3,YR2021Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,2021Q4,YR2021Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,2022Q1,YR2022Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,2022Q2,YR2022Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,2022Q3,YR2022Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,2022Q4,YR2022Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,2023Q1,YR2023Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,2023Q2,YR2023Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,2023Q3,YR2023Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,2023Q4,YR2023Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,2021Q1,YR2021Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,2021Q2,YR2021Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,2021Q3,YR2021Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,2021Q4,YR2021Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,2022Q1,YR2022Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,2022Q2,YR2022Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,2022Q3,YR2022Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,2022Q4,YR2022Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,2023Q1,YR2023Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,2023Q2,YR2023Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,2023Q3,YR2023Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,2023Q4,YR2023Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,2021Q1,YR2021Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,2021Q2,YR2021Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,2021Q3,YR2021Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,2021Q4,YR2021Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,2022Q1,YR2022Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,2022Q2,YR2022Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,2022Q3,YR2022Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,2022Q4,YR2022Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,2023Q1,YR2023Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,2023Q2,YR2023Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,2023Q3,YR2023Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,2023Q4,YR2023Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2021Q1,YR2021Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2021Q2,YR2021Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2021Q3,YR2021Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2021Q4,YR2021Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2022Q1,YR2022Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2022Q2,YR2022Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2022Q3,YR2022Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2022Q4,YR2022Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2023Q1,YR2023Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2023Q2,YR2023Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2023Q3,YR2023Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,2023Q4,YR2023Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2021Q1,YR2021Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2021Q2,YR2021Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2021Q3,YR2021Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2021Q4,YR2021Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2022Q1,YR2022Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2022Q2,YR2022Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2022Q3,YR2022Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,2022Q4,YR2022Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
