Country Name,Country Code,Series Name,Series Code,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, National Currency",DP.DOD.DECD.CR.CG,657235940829.049,672594359208.322,690037743459.907,700735870138.798,713866413478.624,717677680075.256,727287057191.613,750731651400.992,766316839776.962,780569933306.226,774906811283.691,762066542927.68
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, National Currency",DP.DOD.DECN.CR.CG,603616890272.855,617556097829.687,630645427829.687,625594310000,629624553475.006,629453995630.934,635815345630.934,660505672105.827,675130652105.827,693913108022.732,681084928022.732,669982870000
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, External creditors, Nominal Value, National Currency",DP.DOD.DECX.CR.CG,524351574307.664,512318263588.139,503408067746.331,584882658596.639,583320343096.463,571023966626.176,557004219570.745,529949733100.065,516888661126.207,539517953577.585,527987597335.739,510049702712.625
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, National Currency",DP.DOD.DECF.CR.CG,577970624863.858,567356524966.774,562800383376.552,660024218735.437,667562203100.081,659247651070.499,648475931131.424,620175712395.229,608074848797.342,626174778861.078,621809480596.698,602133375640.305
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Nominal Value, National Currency",DP.DOD.DECT.CR.CG,1181587515136.71,1184912622796.46,1193445811206.24,1285618528735.44,1297186756575.09,1288701646701.43,1284291276762.36,1280681384501.06,1283205500903.17,1320087886883.81,1302894408619.43,1272116245640.3
Albania,ALB,"Gross PSD, Central Gov., All maturities, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.CG,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Central Gov., All maturities, Debt Securities, Market value, National Currency",DP.DOD.DLDS.CR.MV.CG,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Central Gov., All maturities, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.CG,756649348272.855,769979706329.687,781664954829.687,854138648000,859796484475.006,850932271660.933,852590020230.934,872874206235.827,885602872615.827,955663011662.732,943302066552.732,911590817560
Albania,ALB,"Gross PSD, Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DLIN.CR.CG,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Central Gov., All maturities, Loans, Nominal Value, National Currency",DP.DOD.DLLO.CR.CG,424938166863.858,414932916466.775,411780856376.552,431479880735.437,437390272100.081,437769375040.499,431701256531.424,407807178265.229,397602628287.342,364424875221.078,359592342066.698,360525428080.305
Albania,ALB,"Gross PSD, Central Gov., All maturities, Other accounts payable, Nominal Value, National Currency",DP.DOD.DLOA.CR.CG,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Central Gov., All maturities, Special Drawing Rights, Nominal Value, National Currency",DP.DOD.DLSD.CR.CG,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Central Gov., Long-term, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.CG,967671324863.858,974384624966.775,984091183376.552,1089481718735.44,1096096603100.08,1089834051070.5,1073383931131.42,1042726112395.23,1026599848797.34,1064228378861.08,1065515480596.7,1059733675640.3
Albania,ALB,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.M1.CG,883141585277.136,874068189255.072,882662924522.054,987318412630.297,987132925928.553,992164999099.064,974081297199.1,948233830312.937,914218887881.922,951259740994.72,948734434717.999,964115845945.557
Albania,ALB,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.M1.CG,..,..,..,..,..,..,..,..,..,..,..,..
