Country Name,Country Code,Series Name,Series Code,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Domestic creditors, Nominal Value, US$",DP.DOD.DECD.CR.CG.CD,6264759706.69192,6523708624.71699,6584957948.84919,6577209218.49819,6532452539.15286,6283292593.89998,6119369433.66944,7012906598.79488,7371266254.10699,7952826625.63657,7712050039.55508,8112269221.65364
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Domestic currency, Nominal Value, US$",DP.DOD.DECN.CR.CG.CD,5753664000.31317,5989874857.70792,6018183298.30792,5871919560.72836,5761571682.60438,5510891224.2246,5349729454.19381,6170066997.71908,6494138631.26036,7069924686.93565,6778313172.13075,7132029959.55691
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, External creditors, Nominal Value, US$",DP.DOD.DECX.CR.CG.CD,4998108610.3104,4969139317.05275,4803970490.94695,5489794054.78354,5337850870.20922,4999334325.21604,4686615225.66887,4950487931.80818,4971995586.05432,5496871661.51388,5254653477.84506,5429526519.99825
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Foreign currency, Nominal Value, US$",DP.DOD.DECF.CR.CG.CD,5509204316.68914,5502973084.06182,5370745141.48823,6195083712.55338,6108731726.7577,5771735694.89143,5456255205.1445,5793327532.88397,5849123208.90095,6379773600.21478,6188390345.26939,6409765782.09498
Albania,ALB,"Gross PSD, Central Gov., All maturities, All instruments, Nominal Value, US$",DP.DOD.DECT.CR.CG.CD,11262868317.0023,11492847941.7697,11388928439.7962,12067003273.2818,11870303409.3621,11282626919.116,10805984659.3383,11963394530.6031,12343261840.1613,13449698287.1504,12966703517.4001,13541795741.6518
Albania,ALB,"Gross PSD, Central Gov., All maturities, Currency and deposits, Nominal Value, US$",DP.DOD.DLCD.CR.CG.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Central Gov., All maturities, Debt Securities, Market value, US$",DP.DOD.DLDS.CR.MV.CG.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Central Gov., All maturities, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.CG.CD,7212366297.5203,7468280371.77194,7459346834.90492,8017070095.73869,7867830202.00408,7449941093.16173,7173664452.93172,8153892631.81529,8518688655.40427,9736760179.95655,9387958182.50603,9703969030.87223
Albania,ALB,"Gross PSD, Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",DP.DOD.DLIN.CR.CG.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Central Gov., All maturities, Loans, Nominal Value, US$",DP.DOD.DLLO.CR.CG.CD,4050502019.48201,4024567569.99782,3929581604.89123,4049933177.54305,4002473207.35799,3832685825.95429,3632320206.4066,3809501898.78775,3824573184.75704,3712938107.19388,3578745334.89411,3837826710.77966
Albania,ALB,"Gross PSD, Central Gov., All maturities, Other accounts payable, Nominal Value, US$",DP.DOD.DLOA.CR.CG.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Central Gov., All maturities, Special Drawing Rights, Nominal Value, US$",DP.DOD.DLSD.CR.CG.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Central Gov., Long-term, All instruments, Nominal Value, US$",DP.DOD.DLTC.CR.CG.CD,9223823514.09644,9450869301.32662,9391079142.82424,10226034529.1481,10030166573.0242,9541534329.10611,9031417174.01279,9740552194.25717,9874950450.14756,10842877013.358,10604254065.9434,11280963532.4228
Albania,ALB,"Gross PSD, Central Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",DP.DOD.DLTC.CR.M1.CG.CD,8418087744.51564,8477867985.01525,8423159886.65,9267114817.25452,9033061181.63025,8686438444.22223,8195888070.66975,8857859227.58466,8793948517.52522,9691897513.95541,9442022354.49907,10263102842.8641
