Country Name,Country Code,Series Name,Series Code,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Value, National Currency",DP.DOD.DECD.CR.FC,584598000000,571928000000,589297000000,675076000000,668755000000,670876000000,686293000000,685093000000,674097000000,741006000000,759574000000,740022000000
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value, National Currency",DP.DOD.DECN.CR.FC,446681000000,453146000000,460445000000,472981000000,470137000000,480019000000,486663000000,503676000000,492082000000,516853000000,526219000000,506281000000
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, All instruments, External creditors, Nominal Value, National Currency",DP.DOD.DECX.CR.FC,6905549277.15,6833403846.9,26657757767.2,26836744736.1,27213969579.3,27427775037.52,27364612603.44,25757035044.48,25315700051.7,23711127137.16,23873303078.64,22840139204.72
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, National Currency",DP.DOD.DECF.CR.FC,144822549277.15,125615403846.9,155509757767.2,228931744736.1,225831969579.3,218284775037.52,226994612603.44,207174035044.48,207330700051.7,247864127137.16,257228303078.64,256581139204.72
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, All instruments, Nominal Value, National Currency",DP.DOD.DECT.CR.FC,591503549277.15,578761403846.9,615954757767.2,701912744736.1,695968969579.3,698303775037.52,713657612603.44,710850035044.48,699412700051.7,764717127137.16,783447303078.64,762862139204.72
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.FC,584381000000,571353000000,588850000000,674268000000,668316000000,670215000000,685933000000,684750000000,673889000000,740795000000,759288000000,739418000000
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, Debt Securities, Market value, National Currency",DP.DOD.DLDS.CR.MV.FC,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.FC,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DLIN.CR.FC,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, Loans, Nominal Value, National Currency",DP.DOD.DLLO.CR.FC,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, Other accounts payable, Nominal Value, National Currency",DP.DOD.DLOA.CR.FC,217000000,575000000,447000000,808000000,439000000,661000000,360000000,343000000,208000000,211000000,286000000,604000000
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, Special Drawing Rights, Nominal Value, National Currency",DP.DOD.DLSD.CR.FC,6905549277.15,6833403846.9,26657757767.2,26836744736.1,27213969579.3,27427775037.52,27364612603.44,25757035044.48,25315700051.7,23711127137.16,23873303078.64,22840139204.72
Albania,ALB,"Gross PSD, Financial Public Corp., Long-term, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.FC,21213549277.15,23732403846.9,43946757767.2,45104744736.1,41946969579.3,55488775037.52,43280612603.44,41943035044.48,40675700051.7,50632127137.16,54596303078.64,39406139204.72
Albania,ALB,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.M1.FC,21213549277.15,23732403846.9,43946757767.2,45104744736.1,41946969579.3,55488775037.52,43280612603.44,41943035044.48,40675700051.7,50632127137.16,54596303078.64,39406139204.72
Albania,ALB,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.M1.FC,14308000000,16899000000,17289000000,18268000000,14733000000,28061000000,15916000000,16186000000,15360000000,26921000000,30723000000,16566000000
Albania,ALB,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.M1.FC,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DLIN.CR.M1.FC,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Loans, Nominal Value, National Currency",DP.DOD.DLLO.CR.M1.FC,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, National Currency",DP.DOD.DLOA.CR.M1.FC,..,..,..,..,..,..,..,..,..,..,..,..
