Country Name,Country Code,Series Name,Series Code,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Value, US$",DP.DOD.DECD.CR.FC.CD,5572376322.5622,5547313288.06983,5623599580.11261,6336361929.79163,6119646778.91655,5873542286.81492,5774446781.65755,6399747781.41056,6484195844.5556,7549730005.09427,7559454390.446,7877603012.046
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value, US$",DP.DOD.DECN.CR.FC.CD,4257754265.56096,4395208535.40252,4393978433.05659,4439468744.13366,4302132137.62811,4202582735.07266,4094766512.4106,4705053713.21812,4733378222.39323,5265950076.41367,5237051992.151,5389408329.133
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, All instruments, External creditors, Nominal Value, US$",DP.DOD.DECX.CR.FC.CD,65823556.1638547,66279377.7584869,254392191.690047,251893605.557537,249029736.267387,240131106.964805,230244952.49003,240607520.266044,243513851.978646,241580510.821804,237592579.22503,243135405.96719
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, US$",DP.DOD.DECF.CR.FC.CD,1380445613.16509,1218384130.4258,1484013338.74606,2148786791.21551,2066544377.55582,1911090658.70706,1909925221.73698,1935301588.45848,1994331474.14102,2525360439.5024,2559994977.52003,2731330088.88019
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, All instruments, Nominal Value, US$",DP.DOD.DECT.CR.FC.CD,5638199878.72605,5613592665.82832,5877991771.80265,6588255535.34916,6368676515.18393,6113673393.77972,6004691734.14758,6640355301.6766,6727709696.53425,7791310515.91608,7797046969.67103,8120738418.01319
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, Currency and deposits, Nominal Value, US$",DP.DOD.DLCD.CR.FC.CD,5570307882.94729,5541736178.46751,5619333905.90705,6328777923.78449,6115629575.40264,5867755209.24531,5771417753.47076,6396543671.18169,6482195075.02886,7547580234.33523,7556608052.952,7871173375.874
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, Debt Securities, Market value, US$",DP.DOD.DLDS.CR.MV.FC.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.FC.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",DP.DOD.DLIN.CR.FC.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Financial Public Corp., All maturities, Loans, Nominal Value, US$",DP.DOD.DLLO.CR.FC.CD,..,..,..,..,..,..,..,..,..,..,..,..
