Country Name,Country Code,Series Name,Series Code,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
Albania,ALB,"Gross PSD, General Gov., All maturities, All instruments, Domestic creditors, Nominal Value, US$",DP.DOD.DECD.CR.GG.CD,6151796014.00294,6407370128.11175,6452547638.77759,6450931170.86141,6365849487.67644,6114892317.63485,5931455306.61854,6804038098.09428,7144773958.99348,7712676498.28048,7509938351.4853,7917926891.57122
Albania,ALB,"Gross PSD, General Gov., All maturities, All instruments, Domestic currency, Nominal Value, US$",DP.DOD.DECN.CR.GG.CD,5640700307.6242,5873536361.10268,5885772988.23632,5745641513.09158,5594968631.12796,5342490947.95947,5161815327.1429,5961198497.01847,6267646336.14686,6829774559.57957,6576201484.06097,6937687629.47448
Albania,ALB,"Gross PSD, General Gov., All maturities, All instruments, External creditors, Nominal Value, US$",DP.DOD.DECX.CR.GG.CD,4998108610.3104,4969139317.05275,4803970490.94695,5489794054.78354,5337850870.20922,4999334325.21604,4686615225.66887,4950487931.80818,4971995586.05432,5496871661.51388,5254653477.84506,5429526519.99825
Albania,ALB,"Gross PSD, General Gov., All maturities, All instruments, Foreign currency, Nominal Value, US$",DP.DOD.DECF.CR.GG.CD,5509204316.68914,5502973084.06182,5370745141.48823,6195083712.55338,6108731726.7577,5771735694.89143,5456255205.1445,5793327532.88397,5849123208.90095,6379773600.21478,6188390345.26939,6409765782.09498
Albania,ALB,"Gross PSD, General Gov., All maturities, All instruments, Nominal Value, US$",DP.DOD.DECT.CR.GG.CD,11149904624.3133,11376509445.1645,11256518129.7246,11940725225.6449,11703700357.8856,11114226642.8509,10618070532.2874,11754526029.9025,12116769545.0478,13209548159.7943,12764591829.3304,13347453411.5694
Albania,ALB,"Gross PSD, General Gov., All maturities, Currency and deposits, Nominal Value, US$",DP.DOD.DLCD.CR.GG.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, General Gov., All maturities, Debt Securities, Market value, US$",DP.DOD.DLDS.CR.MV.GG.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, General Gov., All maturities, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.GG.CD,7095583912.61896,7348334590.97659,7323647436.10733,7887836568.425,7698604085.60584,7279278949.92937,6983813969.1286,7943115144.65976,8290488097.49738,9495051265.03042,9184593240.37484,9508551629.6738
Albania,ALB,"Gross PSD, General Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",DP.DOD.DLIN.CR.GG.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, General Gov., All maturities, Loans, Nominal Value, US$",DP.DOD.DLLO.CR.GG.CD,4054320711.69439,4028174854.18792,3932870693.61723,4052888657.21995,4005096272.27981,3834947692.92152,3634256563.15881,3811410885.24268,3826281447.55042,3714496894.76393,3579998588.95553,3838901781.89566
Albania,ALB,"Gross PSD, General Gov., All maturities, Other accounts payable, Nominal Value, US$",DP.DOD.DLOA.CR.GG.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, General Gov., All maturities, Special Drawing Rights, Nominal Value, US$",DP.DOD.DLSD.CR.GG.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, General Gov., Long-term, All instruments, Nominal Value, US$",DP.DOD.DLTC.CR.GG.CD,9201443559.84995,9427818001.61759,9364226996.69958,10198945893.9385,9980621812.17735,9493884621.91822,8985386345.23703,9689206626.76535,9805468832.21759,10769031827.4181,10535932282.2887,11211217864.3191
Albania,ALB,"Gross PSD, General Gov., Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",DP.DOD.DLTC.CR.M1.GG.CD,8398525443.49572,8457683804.60787,8422536388.29708,9263049459.68719,9005962431.03232,8660263960.28769,8153306968.44005,8813501049.16336,8755709685.28205,9651144533.82296,9426356819.26049,10246081255.8801
Albania,ALB,"Gross PSD, General Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, US$",DP.DOD.DLCD.CR.M1.GG.CD,..,..,..,..,..,..,..,..,..,..,..,..
