Country Name,Country Code,Series Name,Series Code,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
Albania,ALB,"Gross PSD, Public Sector, All maturities, All instruments, Domestic creditors, Nominal Value, National Currency",DP.DOD.DECD.CR.PS,1172022919829.05,1171117860208.32,1203302047067.5,1299925786943.57,1301832612013.28,1309406580520.25,1331384043191.61,1352559858400.99,1355517400776.96,1433924898306.23,1448939748255.57,1416849145104.64
Albania,ALB,"Gross PSD, Public Sector, All maturities, All instruments, Domestic currency, Nominal Value, National Currency",DP.DOD.DECN.CR.PS,980486869272.85,997297598829.69,1015057731437.28,1022689226804.78,1018972752009.66,1030325896075.93,1040282331630.93,1080916879105.83,1082316213105.83,1123115073022.73,1121762864994.61,1091024472176.96
Albania,ALB,"Gross PSD, Public Sector, All maturities, All instruments, External creditors, Nominal Value, National Currency",DP.DOD.DECX.CR.PS,531257123584.814,519151667435.039,530065825513.531,611719403332.739,610534312675.763,598451741663.696,584368832174.185,555706768144.545,542204361177.907,563229080714.745,551860900414.379,532889841917.345
Albania,ALB,"Gross PSD, Public Sector, All maturities, All instruments, Foreign currency, Nominal Value, National Currency",DP.DOD.DECF.CR.PS,722793174141.008,692971928813.674,718310141143.752,888955963471.537,893394172679.381,877532426108.019,875470543734.864,827349747439.709,815405548849.042,874038905998.238,879037783675.338,858714514845.025
Albania,ALB,"Gross PSD, Public Sector, All maturities, All instruments, Nominal Value, National Currency",DP.DOD.DECT.CR.PS,1703280043413.86,1690269527643.36,1733367872581.04,1911645190276.31,1912366924689.04,1907858322183.95,1915752875365.8,1908266626545.54,1897721761954.87,1997153979020.97,2000800648669.95,1949738987021.98
Albania,ALB,"Gross PSD, Public Sector, All maturities, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.PS,584381000000,571353000000,588850000000,674268000000,668316000000,670215000000,685933000000,684750000000,673889000000,740795000000,759288000000,739418000000
Albania,ALB,"Gross PSD, Public Sector, All maturities, Debt Securities, Market value, National Currency",DP.DOD.DLDS.CR.MV.PS,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Public Sector, All maturities, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.PS,686437708272.855,696203296329.687,705287594829.687,777937688000,778721034475.006,771526821660.933,770163870230.934,789405056235.827,800528842615.827,867858981662.732,857635076552.732,826250427560
Albania,ALB,"Gross PSD, Public Sector, All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DLIN.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Public Sector, All maturities, Loans, Nominal Value, National Currency",DP.DOD.DLLO.CR.PS,425338785863.858,415304827466.775,412125519984.149,431794757540.214,437676920634.738,438027725485.496,431931392531.424,408011535265.229,397780219287.342,364577870221.078,359718269038.577,360626420257.264
Albania,ALB,"Gross PSD, Public Sector, All maturities, Other accounts payable, Nominal Value, National Currency",DP.DOD.DLOA.CR.PS,217000000,575000000,447000000,808000000,439000000,661000000,360000000,343000000,208000000,211000000,286000000,604000000
Albania,ALB,"Gross PSD, Public Sector, All maturities, Special Drawing Rights, Nominal Value, National Currency",DP.DOD.DLSD.CR.PS,6905549277.15,6833403846.9,26657757767.2,26836744736.1,27213969579.3,27427775037.52,27364612603.44,25757035044.48,25315700051.7,23711127137.16,23873303078.64,22840139204.72
Albania,ALB,"Gross PSD, Public Sector, Long-term, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.PS,986536993141.008,995740439813.674,1025224104751.35,1131700440276.31,1132629321214.04,1139880276553.02,1111193779734.86,1079172604439.71,1060052239849.04,1107612600998.24,1113246810647.22,1092587907021.98
Albania,ALB,"Gross PSD, Public Sector, Long-term, With payment due in more than one year, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.M1.PS,902302853554.286,895719604101.972,926544345896.851,1031990034171.17,1026118544042.51,1044664124581.58,1012301145802.54,985428322357.417,950919278933.622,997891963131.88,1001756664768.52,1001922977327.24
Albania,ALB,"Gross PSD, Public Sector, Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.M1.PS,14308000000,16899000000,17289000000,18268000000,14733000000,28061000000,15916000000,16186000000,15360000000,26921000000,30723000000,16566000000
Albania,ALB,"Gross PSD, Public Sector, Long-term, With payment due in more than one year, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.M1.PS,456428758000,457047900000,470924800000,555938200000,547258400000,554904276030,540785674600,538798034130,515994920510,585195200000,589939500000,604537719280
Albania,ALB,"Gross PSD, Public Sector, Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DLIN.CR.M1.PS,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Public Sector, Long-term, With payment due in more than one year, Loans, Nominal Value, National Currency",DP.DOD.DLLO.CR.M1.PS,424660546277.136,414939300255.072,411672788129.651,430947089435.074,436913174463.211,434271073514.061,428234858599.1,404687253182.937,394248658371.922,362064635994.72,357220861689.878,357979118842.516
Albania,ALB,"Gross PSD, Public Sector, Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, National Currency",DP.DOD.DLOA.CR.M1.PS,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Public Sector, Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, National Currency",DP.DOD.DLSD.CR.M1.PS,6905549277.15,6833403846.9,26657757767.2,26836744736.1,27213969579.3,27427775037.52,27364612603.44,25757035044.48,25315700051.7,23711127137.16,23873303078.64,22840139204.72
Albania,ALB,"Gross PSD, Public Sector, Long-term, With payment due in one year or less, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.L1.PS,84234139586.722,100020835711.703,98679758854.4981,99710406105.1402,106510777171.528,95216151971.4352,98892633932.3242,93744282082.2917,109132960915.42,109720637866.358,111490145878.699,90664929694.7474
Albania,ALB,"Gross PSD, Public Sector, Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.L1.PS,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Public Sector, Long-term, With payment due in one year or less, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.L1.PS,83555900000,99655308500,98227027000,98862738000,105747031000,91459500000,95196100000,90420000000,105601400000,107207403640,108992738530,88017628280
Albania,ALB,"Gross PSD, Public Sector, Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DLIN.CR.L1.PS,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Public Sector, Long-term, With payment due in one year or less, Loans, Nominal Value, National Currency",DP.DOD.DLLO.CR.L1.PS,678239586.72196,365527211.70276,452731854.49812,847668105.1402,763746171.52788,3756651971.43522,3696533932.3242,3324282082.29171,3531560915.41986,2513234226.35808,2497407348.69861,2647301414.74736
Albania,ALB,"Gross PSD, Public Sector, Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, National Currency",DP.DOD.DLOA.CR.L1.PS,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Public Sector, Short-term, All instruments, Nominal Value, National Currency",DP.DOD.DSTC.CR.PS,716743050272.855,694529087829.687,708143767829.687,779944750000,779737603475.006,767978045630.933,804559095630.934,829094022105.827,837669522105.827,889541378022.732,887553838022.732,857151080000
Albania,ALB,"Gross PSD, Public Sector, Short-term, Currency and deposits, Nominal Value, National Currency",DP.DOD.DSCD.CR.PS,570073000000,554454000000,571561000000,656000000000,653583000000,642154000000,670017000000,668564000000,658529000000,713874000000,728565000000,722852000000
Albania,ALB,"Gross PSD, Public Sector, Short-term, Debt securities, Nominal Value, National Currency",DP.DOD.DSDS.CR.PS,146453050272.855,139500087829.687,136135767829.687,123136750000,125715603475.006,125163045630.933,134182095630.934,160187022105.827,178932522105.827,175456378022.732,158702838022.732,133695080000
Albania,ALB,"Gross PSD, Public Sector, Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DSIN.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Public Sector, Short-term, Loans, Nominal Value, National Currency",DP.DOD.DSLO.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Public Sector, Short-term, Other accounts payable, Nominal Value, National Currency",DP.DOD.DSOA.CR.PS,217000000,575000000,447000000,808000000,439000000,661000000,360000000,343000000,208000000,211000000,286000000,604000000
Argentina,ARG,"Gross PSD, Public Sector, All maturities, All instruments, Domestic creditors, Nominal Value, National Currency",DP.DOD.DECD.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, All maturities, All instruments, Domestic currency, Nominal Value, National Currency",DP.DOD.DECN.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, All maturities, All instruments, External creditors, Nominal Value, National Currency",DP.DOD.DECX.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, All maturities, All instruments, Foreign currency, Nominal Value, National Currency",DP.DOD.DECF.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, All maturities, All instruments, Nominal Value, National Currency",DP.DOD.DECT.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, All maturities, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, All maturities, Debt Securities, Market value, National Currency",DP.DOD.DLDS.CR.MV.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, All maturities, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DLIN.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, All maturities, Loans, Nominal Value, National Currency",DP.DOD.DLLO.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, All maturities, Other accounts payable, Nominal Value, National Currency",DP.DOD.DLOA.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, All maturities, Special Drawing Rights, Nominal Value, National Currency",DP.DOD.DLSD.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, Long-term, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, Long-term, With payment due in more than one year, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.M1.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.M1.PS,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Public Sector, Long-term, With payment due in more than one year, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.M1.PS,..,..,..,..,..,..,..,..,..,..,..,..
