Country Name,Country Code,Series Name,Series Code,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
Albania,ALB,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$",DP.DOD.DECD.CR.PS.CD,11171698787.8091,11359048110.653,11482985466.8146,12201293288.3759,11912816727.7936,11463899321.6621,11202221650.7498,12634842208.3231,13038836098.2778,14609525199.2484,14420180181.8418,15082490916.6094
Albania,ALB,"Gross PSD, Total, All maturities, All instruments, Domestic currency, Nominal Value, US$",DP.DOD.DECN.CR.PS.CD,9345981024.42903,9673109590.97662,9686589669.21729,9599110444.94818,9324421229.95663,9020538400.24452,8752901402.02718,10097308539.0549,10410890853.2689,11442843331.8669,11164040916.1224,11614056971.5997
Albania,ALB,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$",DP.DOD.DECX.CR.PS.CD,5063932166.47425,5035418694.81124,5058362682.637,5741687660.34108,5586880606.4766,5239465432.18084,4916860178.1589,5191095452.07422,5215509438.03297,5738452172.33568,5492246057.07009,5672661925.96544
Albania,ALB,"Gross PSD, Total, All maturities, All instruments, Foreign currency, Nominal Value, US$",DP.DOD.DECF.CR.PS.CD,6889649929.85424,6721357214.48762,6854758480.2343,8343870503.76888,8175276104.31352,7682826353.59848,7366180426.88148,7728629121.34245,7843454683.04196,8905134039.71718,8748385322.78942,9141095870.97517
Albania,ALB,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$",DP.DOD.DECT.CR.PS.CD,16235630954.2833,16394466805.4642,16541348149.4517,17942980948.717,17499697334.2701,16703364753.843,16119081828.9087,17825937660.3974,18254345536.3108,20347977371.5841,19912426238.9119,20755152842.5748
Albania,ALB,"Gross PSD, Total, All maturities, Currency and deposits, Nominal Value, US$",DP.DOD.DLCD.CR.PS.CD,5570307882.94729,5541736178.46751,5619333905.90705,6328777923.78449,6115629575.40264,5867755209.24531,5771417753.47076,6396543671.18169,6482195075.02886,7547580234.33523,7556608052.952,7871173375.874
Albania,ALB,"Gross PSD, Total, All maturities, Debt Securities, Market value, US$",DP.DOD.DLDS.CR.MV.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Total, All maturities, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.PS.CD,6543110363.86288,6752699285.44798,6730485684.03175,7301836756.14792,7125924546.80643,6754743667.14177,6480133531.60231,7374171473.47807,7700354392.22612,8842169960.90408,8535380680.28532,8795512642.66596
Albania,ALB,"Gross PSD, Total, All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",DP.DOD.DLIN.CR.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Total, All maturities, Loans, Nominal Value, US$",DP.DOD.DLLO.CR.PS.CD,4054320711.69439,4028174854.18792,3932870693.61723,4052888657.21995,4005096272.27981,3834947692.92152,3634256563.15881,3811410885.24268,3826281447.55042,3714496894.76393,3579998588.95553,3838901781.89566
Albania,ALB,"Gross PSD, Total, All maturities, Other accounts payable, Nominal Value, US$",DP.DOD.DLOA.CR.PS.CD,2068439.61490802,5577109.60232784,4265674.20555396,7584006.00713347,4017203.51390923,5787077.56960252,3029028.18679007,3204110.22886502,2000769.52674106,2149770.75904229,2846337.494,6429636.172
Albania,ALB,"Gross PSD, Total, All maturities, Special Drawing Rights, Nominal Value, US$",DP.DOD.DLSD.CR.PS.CD,65823556.1638547,66279377.7584869,254392191.690047,251893605.557537,249029736.267387,240131106.964805,230244952.49003,240607520.266044,243513851.978646,241580510.821804,237592579.22503,243135405.96719
Albania,ALB,"Gross PSD, Total, Long-term, All instruments, Nominal Value, US$",DP.DOD.DLTC.CR.PS.CD,9403650682.88064,9658006205.75823,9783606305.48096,10622305615.5088,10364470362.5004,9979690742.01558,9349547999.45192,10081014520.6886,10196731818.4787,11284896597.0274,11079287193.0808,11630699880.9243
Albania,ALB,"Gross PSD, Total, Long-term, With payment due in more than one year, All instruments, Nominal Value, US$",DP.DOD.DLTC.CR.M1.PS.CD,8600732566.52641,8687872008.74851,8841915697.07845,9686409181.25746,9389810981.35533,9146070080.38504,8517468622.65495,9205308943.08657,9146972671.54312,10167009303.4323,9969711730.05254,10665563272.4854
Albania,ALB,"Gross PSD, Total, Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, US$",DP.DOD.DLCD.CR.M1.PS.CD,136383566.866838,163908826.382153,164987117.091325,171466116.012765,134818814.055637,245675013.132551,133916701.724863,151200373.65717,147749134.282416,274284258.787571,305762331.567,176346610.638
Albania,ALB,"Gross PSD, Total, Long-term, With payment due in more than one year, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.M1.PS.CD,4350669697.83624,4433054316.19786,4493986067.37284,5218117139.10268,5007855051.24451,4858205883.64559,4550152920.48801,5033143709.7618,4963398619.7576,5962253693.32656,5871213000.1455,6435360243.74349
Albania,ALB,"Gross PSD, Total, Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",DP.DOD.DLIN.CR.M1.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Total, Long-term, With payment due in more than one year, Loans, Nominal Value, US$",DP.DOD.DLLO.CR.M1.PS.CD,4047855745.65948,4024629488.41001,3928550320.92424,4044932320.58451,3998107379.7878,3802058076.6421,3603154047.95204,3780357339.40156,3792311065.52445,3688890840.4964,3555143819.11499,3810721012.13663
Albania,ALB,"Gross PSD, Total, Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, US$",DP.DOD.DLOA.CR.M1.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Total, Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, US$",DP.DOD.DLSD.CR.M1.PS.CD,65823556.1638547,66279377.7584869,254392191.690047,251893605.557537,249029736.267387,240131106.964805,230244952.49003,240607520.266044,243513851.978646,241580510.821804,237592579.22503,243135405.96719
Albania,ALB,"Gross PSD, Total, Long-term, With payment due in one year or less, All instruments, Nominal Value, US$",DP.DOD.DLTC.CR.L1.PS.CD,802918116.354227,970134197.009728,941690608.402501,935896434.251362,974659381.145022,833620661.630495,832079376.797007,875705577.601978,1049759146.93555,1117887293.59509,1109575463.02822,965136608.439048
Albania,ALB,"Gross PSD, Total, Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, US$",DP.DOD.DLCD.CR.L1.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Total, Long-term, With payment due in one year or less, Debt securities, Nominal Value, US$",DP.DOD.DLDS.CR.L1.PS.CD,796453150.319321,966588831.231814,937370235.709514,927940097.615919,967670488.653002,800731045.351076,800976861.59024,844652031.76086,1015788764.90958,1092281239.32756,1084720693.18768,936955838.68003
Albania,ALB,"Gross PSD, Total, Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",DP.DOD.DLIN.CR.L1.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Total, Long-term, With payment due in one year or less, Loans, Nominal Value, US$",DP.DOD.DLLO.CR.L1.PS.CD,6464966.03490573,3545365.77791232,4320372.69298712,7956336.63544396,6988892.4920194,32889616.2794188,31102515.2067665,31053545.8411183,33970382.0259702,25606054.2675302,24854769.8405314,28180769.7590172
Albania,ALB,"Gross PSD, Total, Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, US$",DP.DOD.DLOA.CR.L1.PS.CD,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Total, Short-term, All instruments, Nominal Value, US$",DP.DOD.DSTC.CR.PS.CD,6831980271.40268,6736460599.70598,6757741843.97067,7320675333.20818,7135226971.76982,6723674011.82746,6769533829.45675,7744923139.7088,8057613717.83212,9063080774.55665,8833139045.83113,9124452961.65044
Albania,ALB,"Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$",DP.DOD.DSCD.CR.PS.CD,5433924316.08045,5377827352.08535,5454346788.81573,6157311807.77173,5980810761.347,5622080196.11276,5637501051.7459,6245343297.52452,6334445940.74644,7273295975.54766,7250845721.385,7694826765.236
Albania,ALB,"Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$",DP.DOD.DSDS.CR.PS.CD,1395987515.70732,1353056138.0183,1299129380.94939,1155779519.42932,1150399006.90891,1095806738.1451,1129003749.52406,1496375731.95541,1721167007.55894,1787635028.24995,1579446986.95214,1423196560.24244
