Country Name,Country Code,Time,Time Code,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990) [EN.GHG.CO2.ZG.AR5],Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e) [EN.GHG.CO2.MT.CE.AR5],Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita) [EN.GHG.CO2.PC.CE.AR5],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",Forest area (sq. km) [AG.LND.FRST.K2]
Afghanistan,AFG,2021,YR2021,171.3982616,7.9308,0.198267958,20,97.1,99.5,12084.4
Afghanistan,AFG,2022,YR2022,182.6603244,8.2599,0.20355189,20,81.7,95.9,12084.4
Afghanistan,AFG,2023,YR2023,197.970707,8.7073,0.210043425,..,..,..,..
Albania,ALB,2021,YR2021,-24.16403311,5.0393,1.792282583,41.9,100,100,7889
Albania,ALB,2022,YR2022,-30.63957863,4.609,1.659293031,..,100,100,7889
Albania,ALB,2023,YR2023,-30.89841986,4.5918,1.672194764,..,..,..,..
Algeria,DZA,2021,YR2021,149.0906924,179.7421,4.015587285,0.1,99.3,100,19583.333
Algeria,DZA,2022,YR2022,158.6560568,186.6444,4.104114245,..,99.3,100,19681.111
Algeria,DZA,2023,YR2023,149.9436663,180.3576,3.906869951,..,..,..,..
American Samoa,ASM,2021,YR2021,0,0.0001,0.002031488,0.4,..,..,171
American Samoa,ASM,2022,YR2022,0,0.0001,0.002068595,0.4,..,..,170.7
American Samoa,ASM,2023,YR2023,0,0.0001,0.002104333,..,..,..,..
Andorra,AND,2021,YR2021,..,..,..,18.4,100,100,160
Andorra,AND,2022,YR2022,..,..,..,18.7,100,100,160
Andorra,AND,2023,YR2023,..,..,..,..,..,..,..
Angola,AGO,2021,YR2021,124.9441264,25.2628,0.73156742,52.9,..,75,660523.133
Angola,AGO,2022,YR2022,143.555611,27.353,0.767587421,..,..,76.2,654972.511
Angola,AGO,2023,YR2023,151.3636728,28.2299,0.768162509,..,..,..,..
Antigua and Barbuda,ATG,2021,YR2021,86.43860721,0.3052,3.304854411,0.9,100,100,80.533
Antigua and Barbuda,ATG,2022,YR2022,87.23274282,0.3065,3.301378716,0.9,100,100,79.911
Antigua and Barbuda,ATG,2023,YR2023,97.37324374,0.3231,3.462428737,..,..,..,..
Argentina,ARG,2021,YR2021,90.30498784,190.662,4.20773344,9.2,100,100,284636.667
Argentina,ARG,2022,YR2022,93.11930818,193.4816,4.26096743,..,100,100,283552.222
Argentina,ARG,2023,YR2023,83.4342773,183.7784,4.035679689,..,..,..,..
Armenia,ARM,2021,YR2021,-63.86350403,7.5092,2.534922189,9.1,100,99.9,3282.6
Armenia,ARM,2022,YR2022,-64.921728,7.2893,2.454971036,..,100,100,3280.5
Armenia,ARM,2023,YR2023,-62.82452924,7.7251,2.582868033,..,..,..,..
