Country Name,Country Code,Time,Time Code,Adjusted net national income (annual % growth) [NY.ADJ.NNTY.KD.ZG],Adjusted net national income (constant 2015 US$) [NY.ADJ.NNTY.KD],Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],Current account balance (% of GDP) [BN.CAB.XOKA.GD.ZS],"Current account balance (BoP, current US$) [BN.CAB.XOKA.CD]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Exports of goods and services (annual % growth) [NE.EXP.GNFS.KD.ZG],Exports of goods and services (current US$) [NE.EXP.GNFS.CD],External balance on goods and services (constant LCU) [NE.RSB.GNFS.KN],"Foreign direct investment, net (BoP, current US$) [BN.KLT.DINV.CD]","Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]","Foreign direct investment, net outflows (% of GDP) [BM.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net outflows (BoP, current US$) [BM.KLT.DINV.CD.WD]",GDP (constant 2015 US$) [NY.GDP.MKTP.KD],GDP (constant LCU) [NY.GDP.MKTP.KN],GDP (current LCU) [NY.GDP.MKTP.CN],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],GDP per capita (constant LCU) [NY.GDP.PCAP.KN],GDP per capita (current LCU) [NY.GDP.PCAP.CN],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],"GDP per capita, PPP (constant 2021 international $) [NY.GDP.PCAP.PP.KD]","GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]","GDP, PPP (constant 2021 international $) [NY.GDP.MKTP.PP.KD]","GDP, PPP (current international $) [NY.GDP.MKTP.PP.CD]",GDP: linked series (current LCU) [NY.GDP.MKTP.CN.AD],General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],General government final consumption expenditure (annual % growth) [NE.CON.GOVT.KD.ZG],General government final consumption expenditure (current US$) [NE.CON.GOVT.CD],"Goods exports (BoP, current US$) [BX.GSR.MRCH.CD]","Goods imports (BoP, current US$) [BM.GSR.MRCH.CD]","Grants, excluding technical cooperation (BoP, current US$) [BX.GRT.EXTA.CD.WD]",Gross domestic savings (% of GDP) [NY.GDS.TOTL.ZS],Gross domestic savings (current LCU) [NY.GDS.TOTL.CN],Gross national expenditure (% of GDP) [NE.DAB.TOTL.ZS],Gross national expenditure deflator (base year varies by country) [NE.DAB.DEFL.ZS],Gross value added at basic prices (GVA) (constant 2015 US$) [NY.GDP.FCST.KD],Households and NPISHs final consumption expenditure (% of GDP) [NE.CON.PRVT.ZS],Households and NPISHs Final consumption expenditure (annual % growth) [NE.CON.PRVT.KD.ZG],Households and NPISHs final consumption expenditure: linked series (current LCU) [NE.CON.PRVT.CN.AD],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Imports of goods and services (annual % growth) [NE.IMP.GNFS.KD.ZG],Imports of goods and services (current US$) [NE.IMP.GNFS.CD],Multilateral debt service (% of public and publicly guaranteed debt service) [DT.TDS.MLAT.PG.ZS],"Net financial flows, IBRD (NFL, current US$) [DT.NFL.MIBR.CD]","Net financial flows, IDA (NFL, current US$) [DT.NFL.MIDA.CD]","Net financial flows, IMF concessional (NFL, current US$) [DT.NFL.IMFC.CD]","Net financial flows, IMF nonconcessional (NFL, current US$) [DT.NFL.IMFN.CD]","Net financial flows, multilateral (NFL, current US$) [DT.NFL.MLAT.CD]",Net ODA received (% of central government expense) [DT.ODA.ODAT.XP.ZS],Net ODA received (% of GNI) [DT.ODA.ODAT.GN.ZS],Net official aid received (current US$) [DT.ODA.OATL.CD],Net official development assistance and official aid received (constant 2021 US$) [DT.ODA.ALLD.KD],"Net trade in goods (BoP, current US$) [BN.GSR.MRCH.CD]","Net trade in goods and services (BoP, current US$) [BN.GSR.GNFS.CD]","Portfolio investment, bonds (PPG + PNG) (NFL, current US$) [DT.NFL.BOND.CD]","Portfolio investment, net (BoP, current US$) [BN.KLT.PTXL.CD]","Service exports (BoP, current US$) [BX.GSR.NFSV.CD]","Service imports (BoP, current US$) [BM.GSR.NFSV.CD]",Taxes less subsidies on products (constant LCU) [NY.TAX.NIND.KN],"Travel services (% of service exports, BoP) [BX.GSR.TRVL.ZS]"
Afghanistan,AFG,2021,YR2021,-19.50573346,..,13621070039,..,..,14.3421528,7.243329331,2045190335,-2.3162E+11,..,0.215925455,30790960,0.215925455,30790960,16345202563,1.10144E+12,1.25117E+12,14259995441,-20.73883937,408.6258552,27535.81638,31278.97783,356.4962141,-22.58448187,2144.16657,2144.16657,85767546198,85767546198,1.25117E+12,21.26238439,-25.42513882,3032015044,..,..,4329130000,-9.740707113,-1.21873E+11,122.7407071,115.2140318,15665884435,88.47832272,-24.87120893,1.10702E+12,37.06956358,-21.25614693,5286118076,100,..,-6179000,..,142479369.4,-14054000,..,32.69546135,..,4690520020,..,..,..,..,..,..,50645000000,..
Afghanistan,AFG,2022,YR2022,..,..,..,..,..,18.3800424,18.61251624,2664599571,-3.47833E+11,..,..,..,..,..,15325233810,1.03271E+12,1.28344E+12,14497243872,-6.240171992,377.6656271,25449.51874,31628.32986,357.2611528,-7.576668912,1981.710168,2122.995815,80415503801,86148711749,1.28344E+12,21.84549192,-1.162118694,3166994239,..,..,3749710000,-19.45699101,-2.49719E+11,136.156991,126.6081859,14663509349,97.61149909,0.596013766,1.25279E+12,54.50542721,36.70706231,7901784706,100,..,-9041000,..,-5018449,-9041000,..,26.77572484,..,3959649902,..,..,..,..,..,..,49146000000,..
Afghanistan,AFG,2023,YR2023,..,..,..,..,..,16.77513628,-9.027677545,2890867895,-3.70385E+11,..,..,..,..,..,15740683549,1.06071E+12,1.35728E+12,17233051620,2.710886791,379.7074973,25587.11298,32741.11617,415.7074171,0.540655554,1992.424394,2211.280635,82595477072,91668110209,1.35728E+12,21.19021143,1.06968117,3651720075,..,..,..,-18.57174719,-2.5207E+11,133.7717472,126.8296013,14997508869,97.38153576,6.182267055,1.32174E+12,50.49820699,0.741157247,8702382078,100,..,-8537000,..,-4202254.6,-10229000,..,..,..,..,..,..,..,..,..,..,54739405100,..
Albania,ALB,2021,YR2021,11.05709518,11130019640,14797555219,-7.595907592,-1369694859,31.13302001,52.09736917,5613909458,-2.06654E+11,-1168644883,6.757906713,1218586452,0.276960629,49941569.83,13659219677,1.62498E+12,1.86667E+12,18032010564,8.969553392,4858.052015,577940.4045,663903.0858,6413.283286,9.984307568,16113.13652,16113.13652,45304758103,45304758103,1.86667E+12,12.83522445,1.438082256,2314449029,1494341013,6007913365,264120000,15.47016822,2.88778E+11,113.3242632,119.1053697,11934163795,71.69460733,4.54619574,1.3383E+12,44.45729608,32.45880603,8016544325,48.26838498,115172000,-50715000,-63340467.6,..,221640000,14.39753435,3.562374095,..,633419982.9,-4513572352,-2392168078,549312000,-92646610.22,4117323974,1995919701,2.09705E+11,54.81856723
Albania,ALB,2022,YR2022,..,..,..,-5.872436401,-1116775476,37.19708481,17.04248798,7073859854,-1.99022E+11,-1249848500,7.579342194,1441381891,1.007042231,191511664.1,14318507637,1.70341E+12,2.14974E+12,19017242586,4.826688314,5154.827498,613246.437,773931.4242,6846.426143,6.108939995,17097.47836,19429.92132,47491477568,53970278712,2.14974E+12,12.04117257,2.332106465,2289898998,2037015150,6503606376,227500000,16.60162879,3.56892E+11,110.3039361,128.1969504,12548553686,71.35719864,6.009414221,1.53399E+12,47.50097911,11.51723923,9033376427,60.75946512,14444000,-48753000,-65891565.9,0,8691000,..,1.688481256,..,338769989,-4466603020,-1959879935,..,601028649.5,5019488987,2512777696,2.15861E+11,58.91190938
Albania,ALB,2023,YR2023,..,..,..,-1.196321748,-281700033.3,38.66508179,9.453514103,9104536341,-1.3786E+11,-1358205661,6.883977454,1620982551,1.115958408,262776733.1,14882173625,1.77046E+12,2.36991E+12,23547179830,3.936625257,5419.637791,644749.7161,863048.0988,8575.171134,5.137132015,17975.79839,21208.21003,49361039069,58237150900,2.36991E+12,12.04646979,4.885182002,2836603905,1984343530,6895967998,..,17.74719275,4.20592E+11,105.1635253,133.9815487,13162420677,70.20633746,2.906343234,1.66382E+12,43.82860281,0.206355427,10320399921,63.79960592,115447000,-45852000,-112142832.5,..,5952000,..,..,..,..,-4911624604,-1275078201,590952000,349390280.7,7114203250,3477656983,2.11458E+11,63.53535632
Algeria,DZA,2021,YR2021,3.613816011,1.37377E+11,1.25759E+11,-2.421535246,-4509654274,23.44436729,11.5,43660727771,-4.29845E+11,-920974182.9,0.46672848,869194073,-0.027804207,-51780109.91,1.99489E+11,8.09133E+12,2.51532E+13,1.86231E+11,3.8,4456.746876,180766.9061,561943.4411,4160.559267,2.132636328,14496.86547,14496.86547,6.48896E+11,6.48896E+11,2.51532E+13,18.42862894,1.2,34319857786,38628351310,37395018714,112600000,39.19748043,9.85942E+12,99.94832468,266.0089567,1.90167E+11,42.37389063,1.6,1.06584E+13,23.39269197,-4.5,43564492198,43.14485793,..,..,..,..,-35180000,..,0.117449893,..,214449996.9,1233332597,-2446197013,..,..,3222227078,6901756688,5.51007E+11,2.216754769
Algeria,DZA,2022,YR2022,..,..,..,8.61928488,19448421372,30.80897855,-0.1,69516903679,-4.27625E+11,-155427080.2,0.106370751,240013321.3,0.037487511,84586241.17,2.0667E+11,8.38261E+12,3.20395E+13,2.25638E+11,3.6,4544.466881,184324.8542,704515.5341,4961.552577,1.96825188,14782.2003,15836.09444,6.72256E+11,7.20184E+11,3.20395E+13,16.53590891,2.8,37311369645,65691533457,38692983624,76460000,45.50470111,1.45795E+13,89.58441865,293.1979685,1.97584E+11,37.95938997,3.6,1.2162E+13,20.39339719,-0.2,46015346670,61.90121512,..,..,..,0,-62464000,..,0.09755493,..,232929992.7,26998549833,22611513315,..,..,3550087393,7937123911,5.49206E+11,4.952798717
Algeria,DZA,2023,YR2023,..,..,..,2.19023557,5423596259,23.61953637,3.4,58488151165,-7.01238E+11,-1132222101,0.49097261,1215776627,0.033742205,83554525.93,2.15144E+11,8.7263E+12,3.36383E+13,2.47626E+11,4.1,4660.405457,189027.3554,728665.2895,5364.02795,2.551203019,15159.32424,16824.4879,6.99818E+11,7.76689E+11,3.36383E+13,17.92794658,3.4,44394285862,54985402692,42851913055,..,41.28110476,1.38862E+13,96.44384145,308.0909018,2.04895E+11,40.79094866,4.1,1.37214E+13,20.06337782,17.9,49682172278,69.36676796,..,..,..,..,-64840000,..,..,..,..,12133489638,7300036762,..,..,3830390599,8663843475,6.05019E+11,3.955106991
American Samoa,ASM,2021,YR2021,..,..,..,..,..,44.26666667,-27.32793522,332000000,-349000000,..,..,..,..,..,651422900.8,634000000,750000000,750000000,-0.782472613,13233.57848,12879.63433,15236.16049,15236.16049,0.29788482,..,..,..,..,750000000,..,..,..,..,..,..,..,..,..,..,..,80.26666667,7.341269841,602000000,92.53333333,-5.6,694000000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
