Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,-19.5057334581634,..,..
Afghanistan,AFG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,18885765415.8654,13621070038.579,..,..
Afghanistan,AFG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..
Afghanistan,AFG,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..
Afghanistan,AFG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,-21.3800895564922,..,..
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,575.916815423607,340.523243575066,..,..
Albania,ALB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,0.717996348166579,11.0570951803532,..,..
Albania,ALB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,11106516465.2136,14797555219.3842,..,..
Albania,ALB,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3255.21932195122,3958.51414795555,..,..
Albania,ALB,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,9404667163.92655,11130019640.3256,..,..
Albania,ALB,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,0.926745968163928,12.0912891148772,..,..
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3844.27714101452,5262.91359620389,..,..
Algeria,DZA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-0.758954451473912,3.61381601143312,..,..
Algeria,DZA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,163368109451.855,125758796095.107,..,..
Algeria,DZA,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,3434.99337199159,3069.11684086388,..,..
Algeria,DZA,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,134669021633.725,137377042756.475,..,..
Algeria,DZA,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-2.76088561389304,1.94944305618579,..,..
Algeria,DZA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4167.01900967391,2809.55559413559,..,..
American Samoa,ASM,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..
American Samoa,ASM,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..
American Samoa,ASM,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..
American Samoa,ASM,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..
American Samoa,ASM,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..
American Samoa,ASM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..
Andorra,AND,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..
Andorra,AND,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..
Andorra,AND,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..
Andorra,AND,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..
Andorra,AND,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..
Andorra,AND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..
Angola,AGO,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,8.83765963435219,-1.28202598096951,..,..
Angola,AGO,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,94702895519.7016,42541367192.0476,..,..
Angola,AGO,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,2689.62682497912,1976.96354143953,..,..
Angola,AGO,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,73052332889.4614,68269353130.3493,..,..
Angola,AGO,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,4.84993424456421,-4.37313344847072,..,..
Angola,AGO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3486.75310038908,1231.92513309873,..,..
Antigua and Barbuda,ATG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,..,..,..,..
Antigua and Barbuda,ATG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,..
Antigua and Barbuda,ATG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,..,..,..,..
Antigua and Barbuda,ATG,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,..,..,..,..
Antigua and Barbuda,ATG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,..,..,..,..
Antigua and Barbuda,ATG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..
Argentina,ARG,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-3.59393203004291,12.4895557692886,..,..
Argentina,ARG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,438031034121.621,411983137959.54,..,..
Argentina,ARG,Adjusted net national income per capita (constant 2015 US$),NY.ADJ.NNTY.PC.KD,11201.4122419505,10783.6247628366,..,..
Argentina,ARG,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,481930355597.948,488630635452.212,..,..
Argentina,ARG,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,-4.58348185931455,12.1908664715254,..,..
