Country Name,Country Code,Time,Time Code,Adjusted Net National Income(Yrly % Growth),Adjusted Net Natiobnal Income (Constant),Adjusted Net National Income (Current),Current Account Balance (% GDP),Current Account Balance (BoP Current $),Exports Goods and Services (% GDP),Exports Goods and Services (Yrly % growth),Exports of Goods and Services (Current $),External Balance on Goods and Services (Constant LCU),"Foreign Direct Investment, Net (Current $)","Foreign Direct Investment, Net Inflows (% of GDP)","Foreign Direct Investment, Net Inflows (Current $)","Foreign Direct Investment, Net Outflows (% of GDP)","Foreign Direct Investment, Net Outflows (Current $)",GDP (Constant 2015 $),GDP (Constant LCU),GDP (Current LCU),GDP (Current $),GDP Growth (Yrly %),GDP per capita (Constant 2015 $),GDP per capita (Constant LCU),GDP per capita (Current LCU),GDP per Capita (Current $),GDP per Capita Growth (Yrly %),"GDP per capita, PPP (Constant 2021 International $)","GDP per capita, PPP (Current International $)","GDP, PPP (Constant 2021 International $)","GDP, PPP (Current International $)",GDP: Linked Series (Current LCU),General Government Final Consumption Expenditure (% of GDP),General Government Final Consumption Expenditure (Annual % Growth),General Government Final Consumption Expenditure (Current $),Goods Exports (Current $),Goods Imports (Current $),"Grants, Excluding Technical Cooperation (Current $)",Gross Domestic Savings (% GDP),Gross Domestic Savings (Current LCU),Gross National Expenditure (% of GDP),Gross National Expenditure Deflator (Base Yr Varies by Country),Gross Value Added at Basic Prices (GVA) (Constant 2015 $),Households and NPISHs Final Consumption Expenditure (% of GDP),Households and NPISHs Final Consumption Expenditure (Annual % Growth),Households and NPISHs Final Consumption Expenditure (Current LCU),Imports Goods and Services (% GDP),Imports Goods and Services (Yrly % Growth),Imports of Goods and Services (Current $),Multilateral Debt Service (% of Public and Publicly Guaranteed Debt Service),"Net Financial Flows, IBRD (NFL, Current $)","Net Financial Flows, IDA (NFL, Current $)","Net Financial Flows, IMF Concessional (NFL, Current $)","Net Financial Flows, IMF Nonconcessional (NFL, Current $)","Net Financial Flows, Multilateral (NFL, Current $)",Net ODA Received (% of Central Government Expense),Net ODA Received (% of GNI),Net Official Aid Received (Current $),Net Dvlpmt Assistance and Aid Received (Constant 2021 $),Net Trade in Goods (Current $),Net Trade in Goods and Services (Current $),"Portfolio Investment, Bonds (PPG + PNG) (NFL, Current $)",Net Portfolio Investment (Current $),Service Exports (Current $),Service Imports (Current $),Taxes Less Subsidies on Products (Constant LCU),Travel Services (% of Service Exports)
Albania,ALB,2021.0,YR2021,11.05709518,11130019640,14797555219,-7.595907592,-1369694859,31.13302001,52.09736917,5613909458,-2.07E+11,-1168644883,6.757906713,1218586452,0.276960629,49941569.83,13659219677,1.62498E+12,1.86667E+12,18032010564,8.969553392,4858.052015,577940.4045,663903.0858,6413.283286,9.984307568,16113.13652,16113.13652,45304758103,45304758103,1.86667E+12,12.83522445,1.438082256,2314449029,1494341013,6007913365,264120000,15.47016822,2.88778E+11,113.3242632,119.1053697,11934163795,71.69460733,4.54619574,1.3383E+12,44.45729608,32.45880603,8016544325,48.26838498,115172000,-50715000,-63340467.6,..,221640000,14.39753435,3.562374095,..,633419982.9,-4513572352,-2392168078,549312000,-92646610.22,4117323974,1995919701,2.09705E+11,54.81856723
Albania,ALB,2022.0,YR2022,..,..,..,-5.872436401,-1116775476,37.19708481,17.04248798,7073859854,-1.99E+11,-1249848500,7.579342194,1441381891,1.007042231,191511664.1,14318507637,1.70341E+12,2.14974E+12,19017242586,4.826688314,5154.827498,613246.437,773931.4242,6846.426143,6.108939995,17097.47836,19429.92132,47491477568,53970278712,2.14974E+12,12.04117257,2.332106465,2289898998,2037015150,6503606376,227500000,16.60162879,3.56892E+11,110.3039361,128.1969504,12548553686,71.35719864,6.009414221,1.53399E+12,47.50097911,11.51723923,9033376427,60.75946512,14444000,-48753000,-65891565.9,0,8691000,..,1.688481256,..,338769989,-4466603020,-1959879935,..,601028649.5,5019488987,2512777696,2.15861E+11,58.91190938
Albania,ALB,2023.0,YR2023,..,..,..,-1.196321748,-281700033.3,38.66508179,9.453514103,9104536341,-1.38E+11,-1358205661,6.883977454,1620982551,1.115958408,262776733.1,14882173625,1.77046E+12,2.36991E+12,23547179830,3.936625257,5419.637791,644749.7161,863048.0988,8575.171134,5.137132015,17975.79839,21208.21003,49361039069,58237150900,2.36991E+12,12.04646979,4.885182002,2836603905,1984343530,6895967998,..,17.74719275,4.20592E+11,105.1635253,133.9815487,13162420677,70.20633746,2.906343234,1.66382E+12,43.82860281,0.206355427,10320399921,63.79960592,115447000,-45852000,-112142832.5,..,5952000,..,..,..,..,-4911624604,-1275078201,590952000,349390280.7,7114203250,3477656983,2.11458E+11,63.53535632
Argentina,ARG,2021.0,YR2021,12.48955577,4.88631E+11,4.11983E+11,1.361544222,6624785192,18.06670917,8.453044795,87906118245,-19922121000,-5114187942,1.368380832,6658049679,0.317298745,1543861738,5.68637E+11,6.8981E+11,4.62191E+13,4.86564E+11,10.44181199,12549.28117,15223.46522,1020012.29,10738.01792,10.14855999,26300.27426,26300.27426,1.19173E+12,1.19173E+12,4.62191E+13,15.91581794,7.124584446,77440654018,77986576165,59291110550,60920000,21.13101802,9.76656E+12,96.94527123,6313.258015,4.78186E+11,62.95316404,9.466194433,2.90964E+13,15.0119804,18.55865327,73042905138,41.54499047,796270000,..,..,-3779982686,1806483000,0.139362174,0.032562763,..,155259994.5,18695465615,14995374117,-1247849000,4940438118,9588735678,13288827176,1.13555E+11,4.111068888
Argentina,ARG,2022.0,YR2022,..,..,..,-0.640820188,-4055046517,16.24801444,4.606214797,1.02816E+11,-42573271000,-13110763935,2.402155349,15200600518,0.330257487,2089836583,5.98603E+11,7.26162E+11,8.26528E+13,6.3279E+11,5.269879674,13182.7934,15991.97548,1820229.892,13935.68111,5.048195323,27627.96348,29597.69384,1.25453E+12,1.34397E+12,8.26528E+13,15.83565718,2.969720445,1.00206E+11,88514609405,76162545003,125350000,18.7498635,1.54973E+13,98.52993496,10571.60165,5.02464E+11,65.41447932,9.354182587,5.40669E+13,15.29969356,17.82674806,96814941605,26.35375942,692400000,..,..,6631907083,2685162000,0.277062343,0.061830572,..,407309997.6,12352064402,5529161408,-3188680000,6898955727,14413679146,21236582139,1.20651E+11,24.09877182
Argentina,ARG,2023.0,YR2023,..,..,..,-3.243512548,-20955532698,12.74924578,-7.512632242,82369725073,-57294643700,-20904799580,3.69401868,23866141440,0.458358641,2961341860,5.8896E+11,7.14464E+11,1.91405E+14,6.46075E+11,-1.611001621,12933.24973,15689.25542,4203155.853,14187.48273,-1.892949797,27104.98,30082.30452,1.23432E+12,1.3699E+12,1.91405E+14,16.387469,1.53504721,1.05875E+11,66836201991,69773052502,..,17.6633499,3.38085E+13,101.7081891,25012.26682,4.94692E+11,65.9491811,1.041241276,1.2623E+14,13.89126635,1.738765924,89748037628,35.12199509,684952000,..,..,-5073959569,3506058000,..,..,..,..,-2936850511,-9352747404,-2613709000,5420481191,16110565249,22526462141,1.18318E+11,34.05417315
Armenia,ARM,2021.0,YR2021,2.40277797,10551045918,11228790134,-3.479973958,-482982405.9,35.90643999,18.6,4983421998,-2.23E+11,-341851473.7,2.640302812,366445214.8,0.17720227,24593741.11,12633615900,5.64086E+12,6.99178E+12,13878908629,5.800000001,4264.799615,1904216.42,2360253.114,4685.179971,5.771427608,15921.70528,15921.70528,47164867557,47164867557,6.99178E+12,13.64985026,-6.199999995,1894450245,3276624686,4781393739,130910000,15.10686738,1.05624E+12,107.8570088,127.5367834,11320947848,71.24328236,2.700000001,4.98117E+12,43.76344883,12.9,6073889076,54.35363478,32303000,-68519000,..,-66293592.4,-467000,4.673396853,1.201415204,..,161949996.9,-1504769053,-1115247228,733035000,-672026508.2,1763282838,1373761014,5.42296E+11,44.4739219
Armenia,ARM,2022.0,YR2022,..,..,..,0.331693235,64724981.18,50.22498046,59.9,9800654853,1.92715E+11,-925913971.6,4.999915861,975658909.3,0.254925672,49744937.62,14225451503,6.35161E+12,8.50145E+12,19513506553,12.6,4791.004817,2139164.993,2863212.111,6571.974455,12.33833356,17886.17839,19161.37005,53107640869,56893939957,8.50145E+12,11.67648189,-2.200000002,2278491060,5711353911,7577110320,106320000,21.417802,1.82082E+12,100.9608173,136.9791788,12803992016,66.9057161,5.599999999,5.68796E+12,51.1857978,35,9988144008,52.73106658,5751000,-64042000,..,59169520.7,44663000,7.273109494,1.581482709,..,322529998.8,-1865756410,-147212952.4,..,1355929977,4406479991,2687936533,5.86222E+11,55.35242615
Armenia,ARM,2023.0,YR2023,..,..,..,-2.309786441,-556329378.3,59.45208567,30.7,14319480483,2.66756E+11,-526510467.3,2.409578645,580365078.7,0.22359533,53854611.31,15406163978,6.87879E+12,9.45318E+12,24085749592,8.3,5151.012731,2299907.125,3160645.625,8053.010663,7.514246547,19230.18993,21342.51453,57515575061,63833326718,9.45317E+12,14.14657932,28.3,3407309672,8647855412,11162507846,..,20.48490163,1.93647E+12,100.8104716,140.4688939,13828311378,65.36851904,5.600000001,6.1794E+12,60.26255729,30.2,14514688647,42.05527148,117744000,-66623000,..,-93668921.1,118748000,..,..,..,..,-2514652434,-193722388.3,-169869000,-64467744.54,5690483460,3369553414,6.50707E+11,52.88284054
Australia,AUS,2021.0,YR2021,..,..,1.1741E+12,3.137208512,48838047105,22.05667598,-8.507106224,3.43364E+11,..,-24337208093,2.024681946,31518948093,0.461333268,7181740000,1.52254E+12,2.38107E+12,2.08582E+12,1.55674E+12,2.111168148,59276.50311,92701.10209,81206.48405,60607.77886,1.967399837,58145.55136,58145.55136,1.49349E+12,1.49349E+12,2.08582E+12,22.42271872,6.567264659,3.49062E+11,3.44122E+11,2.58234E+11,..,26.74815972,5.57919E+11,96.18908037,..,1.42286E+12,50.82912156,0.910610574,1.06021E+12,18.24580429,-3.074861975,2.84039E+11,..,..,..,..,..,..,..,..,..,..,85887678263,89608648118,..,85145403286,45035585027,41314615172,1.49898E+11,37.88562928
