Time,Country,Access to clean fuels and technologies for cooking (% of population) ,Renewable energy consumption (% of total final energy consumption) ,Access to electricity (% of population) ,"Access to electricity, rural (% of rural population) ","Access to electricity, urban (% of urban population) ",Renewable electricity output (% of total electricity output) ,Electric power consumption (kWh per capita) ,"Labor force, female (% of total labor force) ","Labor force, total ","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative) ","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative) ","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative) ","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative) ","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative) ","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative) ","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative) ","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative) ","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+) ","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+) ",Fossil fuel energy consumption (% of total) ,"Electricity production from renewable sources, excluding hydroelectric (kWh) ","Central government debt, total (% of GDP) ",Gross national expenditure (% of GDP) ,Interest payments (% of revenue) ,"Inflation, consumer prices (annual %) "
2021,Albania,83.6,41.9,100.0,100.0,100.0,,2509.89982451685,45.0351457227794,1367734.0,16.8917694091797,90.1680679321289,93.6057586669922,,,97.5423355102539,98.1187286376953,19.4729270935059,45.69,42.59,56.22,41710000.0,81.9201331889469,113.324263171913,6.50561490957785,2.04147163139545
2021,Argentina,99.9,9.2,100.0,100.0,100.0,25.5361113468556,2942.91077511635,42.4041313742487,20993886.0,,,,,,,,,73.75,69.56,87.4,13880960000.0,,96.945271229393,7.83661395979877,
2021,Armenia,98.0,9.1,100.0,100.0,99.9,30.0380758979566,2262.09364345272,50.9312878898809,1495617.0,27.7017383575439,98.9809951782227,99.3359527587891,56.8300971984863,50.9187088012695,99.7414169311523,99.8019409179688,29.2583923339844,52.18,59.38,78.22,165700000.0,60.080359768226,107.857008842587,10.9441131132779,7.18483629443371
2021,Australia,100.0,12.3,100.0,100.0,100.0,26.6608674695166,9848.54749458564,47.1749288751872,13821829.0,32.9900016784668,94.5199966430664,94.5800018310547,56.4599990844727,48.1100006103516,99.6800384521484,100.0,38.7999992370605,100.0,98.59,91.53,55600000000.0,70.0109117652417,96.1890803721506,3.20656117385791,2.86391042204994
2021,Austria,100.0,36.0,100.0,100.0,100.0,79.9114280061055,8381.61025757953,46.7129957870693,4650207.0,16.5626392364502,98.5450592041016,99.0268936157227,32.3056716918945,34.1247978210449,99.9999694824219,99.9999694824219,16.6453037261963,100.0,99.9,64.9,14003130000.0,96.0278211815402,99.1366789303958,2.492931518597,2.7666666666667
2021,Bangladesh,26.4,25.0,99.0,98.5,99.7,1.50205511687497,574.118203146015,35.7881798220608,72755656.0,12.789999961853,45.3600006103516,52.0999984741211,13.5799999237061,22.2700004577637,57.0699996948242,64.25,6.92000007629395,43.46,62.86,82.5,742190000.0,,105.676920936264,20.8277384040526,5.54565430773473
2021,Barbados,100.0,5.5,100.0,100.0,100.0,7.32507956609401,,50.0043904383008,148049.0,,,,,,,,,,,,87920000.0,,,,
2021,Belgium,100.0,11.7,100.0,100.0,100.0,23.5469068829941,7680.00193333532,46.6328440425,5217415.0,36.651912689209,87.8339614868164,90.726936340332,42.4268569946289,39.0090293884277,96.453498840332,97.2008895874023,40.3261184692383,98.65,99.37,67.18,22307400000.0,108.445297214838,98.1310935941277,3.8028487616935,2.44024851144084
2021,Bolivia,88.3,12.8,98.6,95.1,100.0,38.2551705119956,833.601399304369,45.7917932047678,6426918.0,16.2212467193604,58.4099998474121,69.5199966430664,27.6095085144043,27.1238498687744,64.0800018310547,75.1699981689453,16.356761932373,63.29,74.04,84.13,925780000.0,,103.37070474402,,0.737383721452275
2021,Bosnia and Herzegovina,40.9,36.6,100.0,100.0,100.0,39.3396633577902,3835.85723720279,41.781557149456,1370363.0,11.3161611557007,61.6673622131348,82.3170852661133,19.2820777893066,17.8988666534424,85.3159103393555,95.8196868896484,12.0636463165283,70.37,88.71,79.95,496000000.0,46.9748191378299,113.600640934544,1.51220444054424,1.98163900587622
2021,Botswana,65.4,27.4,73.7,25.0,93.1,0.254047322540473,1455.7925845357,46.2925139863245,1036012.0,9.36865234375,69.9438781738281,72.5497207641602,29.1568965911865,30.3034534454346,90.0067291259766,88.1280517578125,8.30223751068115,,,66.27,6120000.0,,102.195108664477,1.70232678290708,7.24097765588442
2021,Brazil,96.5,46.5,99.5,97.3,99.8,77.3753492178891,2723.96659104663,43.0075756040014,104085430.0,,67.4000015258789,64.9700012207031,,,86.5699996948242,85.4499969482422,,80.87,87.05,53.72,144848630000.0,85.0115036701985,99.4374700132333,23.935768122229,8.30165975585673
2021,Bulgaria,,20.4,99.8,99.5,99.9,22.1918096199125,5261.46440772794,46.1755006342007,3252125.0,22.2995719909668,95.1631698608398,96.7388916015625,30.1665000915527,22.6712970733643,98.9873733520508,99.3213653564453,29.8617286682129,84.32,83.59,65.86,5489200000.0,32.7213944823671,97.5160399961702,1.32799708932145,3.29774435299515
2021,Burkina Faso,15.8,71.2,19.0,,67.6,13.982068141064,129.709864992171,44.462168837473,6176046.0,3.9516499042511,7.78822994232178,16.0786800384521,,,16.136360168457,27.6204204559326,1.17656004428864,30.68,42.35,24.89,106920000.0,55.5822235545459,96.8262116284175,8.62379397927597,3.65353287214209
2021,Cambodia,47.2,52.4,82.5,77.1,98.9,56.4018810620163,725.390524089204,48.2283721430601,9341945.0,6.1717700958252,16.44873046875,29.0128993988037,4.16995286941528,7.72569990158081,35.2416610717773,52.8918418884277,3.23664999008179,32.52,34.41,55.82,507940000.0,,99.7543374472379,1.85235096785957,2.92073477592949
2021,Canada,100.0,23.8,100.0,100.0,100.0,67.2868623475815,14782.8716127233,47.0485134191502,21005652.0,27.6700000762939,95.6152420043945,96.2860412597656,62.9199981689453,61.4599990844727,95.6152420043945,96.2860412597656,30.8999996185303,99.51,99.77,76.34,49828000000.0,71.0739602315819,99.9745741467541,5.21937669967861,3.39519318527528
2021,Chile,100.0,24.2,100.0,100.0,100.0,48.0821990956395,4306.7208858565,40.920646423243,9171143.0,20.3219699859619,85.0017929077148,88.0690612792969,27.8540439605713,28.0212020874023,90.967399597168,92.8306655883789,18.9309692382812,86.62,87.56,70.71,22973990000.0,,100.891280249983,3.54372318434982,4.52456838259144
2021,China,85.9,15.2,100.0,100.0,100.0,28.427997926748,5847.80226004701,45.114320356218,781187865.0,,,,,,,,,87.34,89.92,87.16,1105539040000.0,,97.0620027287315,3.4419404251668,0.981015135544882
2021,Colombia,93.1,29.7,100.0,100.0,100.0,72.688526665976,1569.1710661367,41.0345266672094,25915910.0,,59.2900009155273,56.6599998474121,,,81.7099990844727,80.3499984741211,,56.2,63.51,76.07,827250000.0,80.3666516174088,107.66513448384,12.7782491036127,3.49505757399448
2021,"Congo, Dem. Rep.",4.3,96.3,20.8,1.0,43.8,90.3982710244938,133.667602188594,48.1367974074203,35154175.0,,,,,,,,,,,2.86,-1210180000.0,,99.7096522903166,0.557011168639761,
2021,Costa Rica,96.2,34.2,100.0,100.0,99.8,99.3668053701814,2111.26982909841,41.4550240016251,2490873.0,,50.189998626709,48.0800018310547,,,83.75,83.7600021362305,,61.08,76.34,50.17,3371350000.0,,98.4289282487777,16.0641742418659,1.72647755109241
2021,Cote d'Ivoire,40.3,58.2,71.1,45.2,94.9,22.7930735930736,308.099910201629,42.7302232194757,11440310.0,6.69000005722046,20.0100002288818,32.6800003051758,6.76000022888184,12.3900003433228,25.7800006866455,38.9900016784668,3.07999992370605,37.44,64.01,35.9,23600000.0,,100.521497102363,14.8113398704174,4.09195189692863
