Country,Time,GDP (Current $),GDP Growth (Yrly %),GDP per Capita (Current $)
Albania,2021.0,18032010564.0,8.969553392,6413.283286
Albania,2022.0,19017242586.0,4.826688314,6846.426143
Albania,2023.0,23547179830.0,3.936625257,8575.171134
Argentina,2021.0,486564000000.0,10.44181199,10738.01792
Argentina,2022.0,632790000000.0,5.269879674,13935.68111
Argentina,2023.0,646075000000.0,-1.611001621,14187.48273
Armenia,2021.0,13878908629.0,5.800000001,4685.179971
Armenia,2022.0,19513506553.0,12.6,6571.974455
Armenia,2023.0,24085749592.0,8.3,8053.010663
Australia,2021.0,1556740000000.0,2.111168148,60607.77886
Australia,2022.0,1690860000000.0,4.242385553,64997.01365
Australia,2023.0,1728060000000.0,3.4419922,64820.91179
Austria,2021.0,480467000000.0,4.795329106,53648.71907
Austria,2022.0,471774000000.0,5.277894212,52176.66491
Austria,2023.0,511685000000.0,-0.954962367,56033.57379
Bangladesh,2021.0,416272000000.0,6.938679124,2482.849178
Bangladesh,2022.0,460132000000.0,7.099828776,2716.485927
Bangladesh,2023.0,437415000000.0,5.77511237,2551.017727
Barbados,2021.0,5275242050.0,-0.25496588,18696.7859
Barbados,2022.0,6257303500.0,17.83286303,22164.02603
Barbados,2023.0,6720733200.0,4.09382011,23804.02499
Belgium,2021.0,598494000000.0,6.202554016,51655.78833
Belgium,2022.0,593439000000.0,4.233431834,50807.20471
Belgium,2023.0,644783000000.0,1.251700632,54700.90932
Bolivia,2021.0,40406111695.0,6.111372752,3384.844865
Bolivia,2022.0,44008282878.0,3.605680383,3643.92827
Bolivia,2023.0,45135398009.0,3.081965241,3686.279965
Bosnia and Herzegovina,2021.0,23672712242.0,7.38996234,7295.343824
Bosnia and Herzegovina,2022.0,24534663636.0,4.226811011,7655.59421
Bosnia and Herzegovina,2023.0,27514782476.0,2.211124472,8638.666202
Botswana,2021.0,18750946600.0,11.92063651,7808.20624
Botswana,2022.0,20321958850.0,5.486028178,8329.040322
Botswana,2023.0,19396084498.0,2.73379817,7820.232404
Brazil,2021.0,1670650000000.0,4.762604379,7972.53665
Brazil,2022.0,1951920000000.0,3.016694354,9281.333344
Brazil,2023.0,2173670000000.0,2.908480487,10294.86668
Bulgaria,2021.0,84417951261.0,7.780614814,12274.0776
Bulgaria,2022.0,90642851836.0,4.038777583,13644.20158
Bulgaria,2023.0,102408000000.0,1.886814839,15885.53913
Burkina Faso,2021.0,19697516284.0,6.942524926,895.5352884
Burkina Faso,2022.0,18820218691.0,1.497239741,836.1183046
Burkina Faso,2023.0,20324617845.0,2.960181474,882.6898101
Cambodia,2021.0,36790163687.0,3.089842841,2167.403242
Cambodia,2022.0,39994532960.0,5.103368887,2325.0305
Cambodia,2023.0,42335646896.0,4.960066589,2429.748535
Canada,2021.0,2007470000000.0,5.286956891,52496.84417
Canada,2022.0,2161480000000.0,3.819866339,55509.39318
Canada,2023.0,2142470000000.0,1.248927304,53431.18571
Chile,2021.0,315515000000.0,11.33395707,16216.57065
Chile,2022.0,302117000000.0,2.058740081,15451.13196
Chile,2023.0,335533000000.0,0.218780667,17067.81362
China,2021.0,17820500000000.0,8.448469417,12617.5051
China,2022.0,17881800000000.0,2.95066993,12662.58267
China,2023.0,17794800000000.0,5.249557864,12614.06174
Colombia,2021.0,318525000000.0,10.80119819,6222.621644
Colombia,2022.0,345330000000.0,7.288883887,6674.596019
Colombia,2023.0,363494000000.0,0.610409566,6947.359287
"Congo, Dem. Rep.",2021.0,55328482784.0,6.200154011,558.0340773
"Congo, Dem. Rep.",2022.0,65801547620.0,8.924447626,642.6122658
