Country,Time,GDP (Current $),GDP Growth (Yrly %),GDP per Capita (Current $),Access to clean fuels and technologies for cooking (% of population) ,Access to electricity (% of population) ,"Access to electricity, rural (% of rural population) ","Access to electricity, urban (% of urban population) ",Electric power consumption (kWh per capita) ,"Labor force, female (% of total labor force) ","Labor force, total ","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative) ","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative) ","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative) ","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative) ","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative) ","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative) ","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative) ","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative) ",Fossil fuel energy consumption (% of total) ,Gross national expenditure (% of GDP) ,Interest payments (% of revenue) ,"Inflation, consumer prices (annual %) "
Albania,2021,18032010564.0,8.969553392,6413.283286,83.6,100.0,100.0,100.0,2509.89982451685,45.0351457227794,1367734.0,16.8917694091797,90.1680679321289,93.6057586669922,,,97.5423355102539,98.1187286376953,19.4729270935059,56.22,113.324263171913,6.50561490957785,2.04147163139545
Albania,2022,19017242586.0,4.826688314,6846.426143,84.6,100.0,100.0,100.0,2507.48013906524,44.9838115488655,1389262.0,18.2386665344238,90.4998779296875,93.8575210571289,,,97.3871002197266,98.3405456542969,21.3606376647949,55.06,110.303936086105,7.32763843345551,6.7252027153006
Albania,2023,23547179830.0,3.936625257,8575.171134,,100.0,100.0,100.0,,44.9944538998128,1376643.0,,,,,,,,,,105.163525308261,7.05727887013296,4.75976421930106
Argentina,2021,486564000000.0,10.44181199,10738.01792,99.9,100.0,100.0,100.0,2942.91077511635,42.4041313742487,20993886.0,,,,,,,,,87.4,96.945271229393,7.83661395979877,
Argentina,2022,632790000000.0,5.269879674,13935.68111,99.9,100.0,100.0,100.0,2833.11909750338,42.9402622703507,21566906.0,,,,,,,,,86.96,98.5299349575039,9.47259379330155,
Argentina,2023,646075000000.0,-1.611001621,14187.48273,,100.0,100.0,100.0,,43.2479806527258,22069879.0,,,,,,,,,,101.708189111569,,
Armenia,2021,13878908629.0,5.800000001,4685.179971,98.0,100.0,100.0,99.9,2262.09364345272,50.9312878898809,1495617.0,27.7017383575439,98.9809951782227,99.3359527587891,56.8300971984863,50.9187088012695,99.7414169311523,99.8019409179688,29.2583923339844,78.22,107.857008842587,10.9441131132779,7.18483629443371
Armenia,2022,19513506553.0,12.6,6571.974455,97.9,100.0,100.0,100.0,2403.67775831874,50.3422841326494,1480203.0,27.8967914581299,99.1247024536133,99.2666320800781,55.4669418334961,50.2793502807617,99.7779769897461,99.6971969604492,28.6064758300781,75.78,100.960817340158,9.85904112142016,8.64091108973855
Armenia,2023,24085749592.0,8.3,8053.010663,,100.0,100.0,100.0,,50.3047810326312,1492711.0,,,,,,,,,,100.810471614034,11.1089311863769,1.98041877615554
Australia,2021,1556740000000.0,2.111168148,60607.77886,100.0,100.0,100.0,100.0,9848.54749458564,47.1749288751872,13821829.0,32.9900016784668,94.5199966430664,94.5800018310547,56.4599990844727,48.1100006103516,99.6800384521484,100.0,38.7999992370605,91.53,96.1890803721506,3.20656117385791,2.86391042204994
Australia,2022,1690860000000.0,4.242385553,64997.01365,100.0,100.0,100.0,100.0,9933.15278973003,47.4388189017502,14188083.0,33.5400009155273,95.0299987792969,95.0199966430664,58.439998626709,49.1100006103516,99.4609680175781,99.5923080444336,40.0200004577637,90.42,94.7585941727542,3.08204640033961,6.59409671341846
Australia,2023,1728060000000.0,3.4419922,64820.91179,,100.0,100.0,100.0,9829.34510394034,47.4234908813432,14593816.0,32.4765777587891,92.3012619018555,93.4535980224609,55.6810340881348,47.4710121154785,99.4464263916016,99.5395355224609,38.907341003418,90.19,95.6266628445504,,5.5970149253731
Austria,2021,480467000000.0,4.795329106,53648.71907,100.0,100.0,100.0,100.0,8381.61025757953,46.7129957870693,4650207.0,16.5626392364502,98.5450592041016,99.0268936157227,32.3056716918945,34.1247978210449,99.9999694824219,99.9999694824219,16.6453037261963,64.9,99.1366789303958,2.492931518597,2.7666666666667
Austria,2022,471774000000.0,5.277894212,52176.66491,100.0,100.0,100.0,100.0,8260.47675415134,46.7976239861348,4715124.0,,98.6379013061523,98.4232788085938,34.7421760559082,34.7317581176758,100.0,100.0,,64.1,100.723954933383,2.1554046097905,8.5468699318845
Austria,2023,511685000000.0,-0.954962367,56033.57379,,100.0,100.0,100.0,7772.32343246828,46.9103936029029,4762160.0,,98.7511596679688,98.6837692260742,36.107967376709,36.0802230834961,100.0,100.0,,62.06,98.1101024815763,2.60985387989499,7.81413417002832
Bangladesh,2021,416272000000.0,6.938679124,2482.849178,26.4,99.0,98.5,99.7,574.118203146015,35.7881798220608,72755656.0,12.789999961853,45.3600006103516,52.0999984741211,13.5799999237061,22.2700004577637,57.0699996948242,64.25,6.92000007629395,82.5,105.676920936264,20.8277384040526,5.54565430773473
Bangladesh,2022,460132000000.0,7.099828776,2716.485927,28.0,99.4,99.2,100.0,602.674747324137,36.5470471565248,74651451.0,10.084264755249,43.232349395752,47.9946060180664,,,61.7735824584961,66.9404983520508,5.0764307975769,83.13,106.822881412177,,7.69695437176898
Bangladesh,2023,437415000000.0,5.77511237,2551.017727,,99.5,99.6,99.5,,36.6680753844261,75834921.0,,,,,,,,,,105.191686003985,,9.8835030377921
Barbados,2021,5275242050.0,-0.25496588,18696.7859,100.0,100.0,100.0,100.0,,50.0043904383008,148049.0,,,,,,,,,,,,
Barbados,2022,6257303500.0,17.83286303,22164.02603,100.0,100.0,100.0,100.0,,49.6552005549435,147042.0,,,,,,,,,,,,
Barbados,2023,6720733200.0,4.09382011,23804.02499,,100.0,100.0,100.0,,49.9773073666384,147625.0,,,,,,,,,,,,9.79207077126447
Belgium,2021,598494000000.0,6.202554016,51655.78833,100.0,100.0,100.0,100.0,7680.00193333532,46.6328440425,5217415.0,36.651912689209,87.8339614868164,90.726936340332,42.4268569946289,39.0090293884277,96.453498840332,97.2008895874023,40.3261184692383,67.18,98.1310935941277,3.8028487616935,2.44024851144084
Belgium,2022,593439000000.0,4.233431834,50807.20471,100.0,100.0,100.0,100.0,7282.40331295413,46.8267617902964,5320795.0,37.4228248596191,88.3022537231445,90.955207824707,43.1228790283203,39.7613945007324,96.2443695068359,97.0625991821289,41.2547912597656,67.09,101.460685561862,3.31026343382765,9.597511728725
