Country,Time,Fossil fuel energy consumption (% of total),Electric power consumption (kWh per capita),Access to electricity (% of population),Gross national expenditure (% of GDP),Interest payments (% of revenue),GDP (Current $),GDP Growth (Yrly %),"Inflation, consumer prices (annual %)"
Albania,2021,56.22,2509.89982451685,100.0,113.324263171913,6.50561490957785,18032010564.0,8.969553392,2.04147163139545
Albania,2022,55.06,2507.48013906524,100.0,110.303936086105,7.32763843345551,19017242586.0,4.826688314,6.7252027153006
Albania,2023,86.92,2792.95367053278,100.0,105.163525308261,7.05727887013296,23547179830.0,3.936625257,4.75976421930106
Argentina,2021,87.4,2942.91077511635,100.0,96.945271229393,7.83661395979877,486564000000.0,10.44181199,113.84638691295845
Argentina,2022,86.96,2833.11909750338,100.0,98.5299349575039,9.47259379330155,632790000000.0,5.269879674,113.84638691295845
Argentina,2023,47.230000000000004,9887.38765808867,100.0,101.708189111569,0.9166458981774386,646075000000.0,-1.611001621,113.84638691295845
Armenia,2021,78.22,2262.09364345272,100.0,107.857008842587,10.9441131132779,13878908629.0,5.800000001,7.18483629443371
Armenia,2022,75.78,2403.67775831874,100.0,100.960817340158,9.85904112142016,19513506553.0,12.6,8.64091108973855
Armenia,2023,79.38,3804.00457586802,100.0,100.810471614034,11.1089311863769,24085749592.0,8.3,1.98041877615554
Australia,2021,91.53,9848.54749458564,100.0,96.1890803721506,3.20656117385791,1556740000000.0,2.111168148,2.86391042204994
Australia,2022,90.42,9933.15278973003,100.0,94.7585941727542,3.08204640033961,1690860000000.0,4.242385553,6.59409671341846
Australia,2023,90.19,9829.34510394034,100.0,95.6266628445504,2.8811118135572853,1728060000000.0,3.4419922,5.5970149253731
Austria,2021,64.9,8381.61025757953,100.0,99.1366789303958,2.492931518597,480467000000.0,4.795329106,2.7666666666667
Austria,2022,64.1,8260.47675415134,100.0,100.723954933383,2.1554046097905,471774000000.0,5.277894212,8.5468699318845
Austria,2023,62.06,7772.32343246828,100.0,98.1101024815763,2.60985387989499,511685000000.0,-0.954962367,7.81413417002832
Bangladesh,2021,82.5,574.118203146015,99.0,105.676920936264,20.8277384040526,416272000000.0,6.938679124,5.54565430773473
