Country,Time,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Electric power consumption (kWh per capita),"Labor force, female (% of total labor force)","Labor force, total","Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
Albania,2021,83.6,100.0,100.0,100.0,2509.89982451685,45.0351457227794,1367734.0,16.8917694091797,90.1680679321289,93.6057586669922,15.200548827648149,16.925593495368968,97.5423355102539,98.1187286376953,19.4729270935059
Albania,2022,84.6,100.0,100.0,100.0,2507.48013906524,44.9838115488655,1389262.0,18.2386665344238,90.4998779296875,93.8575210571289,44.2094383239746,42.4827480316162,97.3871002197266,98.3405456542969,21.3606376647949
Albania,2023,41.0,100.0,100.0,100.0,2792.95367053278,44.9944538998128,1376643.0,11.60308074951175,73.9286823272705,89.25854110717775,17.21603870391845,16.51443338394165,88.9579544067383,97.0598449707031,12.3668231964111
Argentina,2021,99.9,100.0,100.0,100.0,2942.91077511635,42.4041313742487,20993886.0,25.14011669158935,94.4972267150879,95.85797119140625,42.23133277893065,39.54106521606445,97.6081886291504,98.72143173217775,28.560231208801248
Argentina,2022,99.9,100.0,100.0,100.0,2833.11909750338,42.9402622703507,21566906.0,32.07914924621585,91.28768539428711,92.47015380859375,48.44225883483885,41.6000518798828,98.226749420166,98.60044479370114,39.0877857208252
Argentina,2023,99.95,100.0,100.0,100.0,9887.38765808867,43.2479806527258,22069879.0,25.9704971313477,96.16034698486331,96.29983139038085,45.6666145324707,35.224497795104995,98.9306335449219,99.47602462768555,34.744553565979004
Armenia,2021,98.0,100.0,100.0,99.9,2262.09364345272,50.9312878898809,1495617.0,27.7017383575439,98.9809951782227,99.3359527587891,56.8300971984863,50.9187088012695,99.7414169311523,99.8019409179688,29.2583923339844
Armenia,2022,97.9,100.0,100.0,100.0,2403.67775831874,50.3422841326494,1480203.0,27.8967914581299,99.1247024536133,99.2666320800781,55.4669418334961,50.2793502807617,99.7779769897461,99.6971969604492,28.6064758300781
Armenia,2023,41.0,100.0,100.0,100.0,3804.00457586802,50.3047810326312,1492711.0,11.60308074951175,73.9286823272705,89.25854110717775,17.21603870391845,16.51443338394165,88.9579544067383,97.0598449707031,12.3668231964111
Australia,2021,100.0,100.0,100.0,100.0,9848.54749458564,47.1749288751872,13821829.0,32.9900016784668,94.5199966430664,94.5800018310547,56.4599990844727,48.1100006103516,99.6800384521484,100.0,38.7999992370605
Australia,2022,100.0,100.0,100.0,100.0,9933.15278973003,47.4388189017502,14188083.0,33.5400009155273,95.0299987792969,95.0199966430664,58.439998626709,49.1100006103516,99.4609680175781,99.5923080444336,40.0200004577637
Australia,2023,100.0,100.0,100.0,100.0,9829.34510394034,47.4234908813432,14593816.0,32.4765777587891,92.3012619018555,93.4535980224609,55.6810340881348,47.4710121154785,99.4464263916016,99.5395355224609,38.907341003418
Austria,2021,100.0,100.0,100.0,100.0,8381.61025757953,46.7129957870693,4650207.0,16.5626392364502,98.5450592041016,99.0268936157227,32.3056716918945,34.1247978210449,99.9999694824219,99.9999694824219,16.6453037261963
